Protein,Len,NO,NO,NO,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,Uniprot
m.60,320,0,0,1,8,4,5,2.089,3.043,0,0,0.595306,Carbonic anhydrase 7 OS=Mus musculus GN=Ca7 PE=1 SV=2,Q9ERQ8
m.285,338,5,4,0,11,13,13,1.545,4.2221,0,0,0.572968,N-terminal EF-hand calcium-binding protein 1 OS=Rattus norvegicus GN=Necab1 PE=1 SV=1,Q9ESB5
m.9200,158,1,0,0,4,1,0,0.946,1.2058,0.000213,0.000005,0.695549,Pyroglutamyl-peptidase 1 OS=Mus musculus GN=Pgpep1 PE=2 SV=1,Q9ESW8
m.18288,378,3,4,0,1,0,0,-0.834,-1.1945,0,0.60227,0,Probable S-adenosylmethionine-dependent methyltransferase At5g37990 OS=Arabidopsis thaliana GN=At5g37990 PE=3 SV=2,Q9FKC8
m.26030,262,1,3,9,3,2,4,-0.18,-0.4031,0.125504,0.650691,0.007502,Phosphoethanolamine N-methyltransferase 1 OS=Arabidopsis thaliana GN=NMT1 PE=2 SV=1,Q9FR44
m.9470,281,0,1,0,2,3,1,0.902,1.2922,0.000031,0.000001,0.688137,Phosphoethanolamine N-methyltransferase 1 OS=Arabidopsis thaliana GN=NMT1 PE=2 SV=1,Q9FR44
m.6705,727,61,54,21,57,44,46,0.313,2.5554,0,0,0.611158,"Methylmalonyl-CoA mutase, mitochondrial OS=Bos taurus GN=MUT PE=2 SV=1",Q9GK13
m.9151,279,11,8,4,13,12,14,0.773,2.9316,0,0,0.598455,Dehydrogenase/reductase SDR family member 4 (Fragment) OS=Oryctolagus cuniculus GN=DHRS4 PE=1 SV=1,Q9GKX2
m.18064,292,2,0,0,4,2,1,0.885,1.3301,0.000013,0,0.684996,Coagulation factor V OS=Sus scrofa GN=F5 PE=2 SV=1,Q9GLP1
m.17521,185,117,94,115,72,72,77,-0.15,-1.7352,0,0.585876,0,"Peroxiredoxin-5, mitochondrial OS=Chlorocebus aethiops GN=PRDX5 PE=2 SV=1",Q9GLW7
m.6517,538,50,70,39,53,46,47,0.145,1.2403,0.0001,0.000002,0.692548,"Serine--tRNA ligase, cytoplasmic OS=Bos taurus GN=SARS PE=2 SV=3",Q9GMB8
m.5976,440,0,1,0,0,0,0,0.278,0.3407,0.985548,0.36278,0.698371,Eukaryotic peptide chain release factor subunit 1 OS=Polyandrocarpa misakiensis GN=ERF1 PE=2 SV=1,Q9GR88
m.2066,222,0,0,0,1,0,0,0.336,0.3809,0.978636,0.309486,0.713919,COMM domain-containing protein 5 OS=Homo sapiens GN=COMMD5 PE=1 SV=1,Q9GZQ3
m.3172,280,9,11,3,19,20,21,1.218,4.8506,0,0,0.566284,Toll-interacting protein OS=Homo sapiens GN=TOLLIP PE=1 SV=1,Q9H0E2
m.21798,281,6,4,6,5,4,6,0.157,0.4344,0.96169,0.238241,0.728922,Radial spoke head protein 9 homolog OS=Homo sapiens GN=RSPH9 PE=1 SV=1,Q9H1X1
m.26466,184,13,9,5,8,11,8,0.234,0.8295,0.133301,0.004565,0.730822,S-methylmethionine--homocysteine S-methyltransferase BHMT2 OS=Homo sapiens GN=BHMT2 PE=1 SV=1,Q9H2M3
m.26158,399,4,4,3,2,3,4,0.029,0.063,1,0.609871,0.436656,Golgi resident protein GCP60 OS=Homo sapiens GN=ACBD3 PE=1 SV=4,Q9H3P7
m.8236,303,1,1,1,0,0,0,0.276,0.3153,0.988495,0.395179,0.686333,Transmembrane protease serine 5 OS=Homo sapiens GN=TMPRSS5 PE=1 SV=2,Q9H3S3
m.6043,332,4,0,0,14,11,13,2.088,4.8568,0,0,0.566235,Ribokinase OS=Homo sapiens GN=RBKS PE=1 SV=1,Q9H477
m.11458,213,7,12,5,8,8,6,0.133,0.4677,0.942935,0.19612,0.735479,Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3,Q9H4G4
m.4358,403,1,3,4,6,6,8,1.215,2.8932,0,0,0.599597,Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3,Q9H4G4
m.35893,316,2,0,1,0,0,1,-0.143,-0.1779,0.738359,0.660811,0.100764,Phosphopantothenate--cysteine ligase OS=Homo sapiens GN=PPCS PE=1 SV=2,Q9HAB8
m.9295,226,13,11,5,13,6,10,0.214,0.825,0.140575,0.004869,0.731252,Nicotinamide mononucleotide adenylyltransferase 1 OS=Homo sapiens GN=NMNAT1 PE=1 SV=1,Q9HAN9
m.2824,459,28,20,26,50,38,41,0.792,5.3705,0,0,0.563154,Retinoid-inducible serine carboxypeptidase OS=Homo sapiens GN=SCPEP1 PE=1 SV=1,Q9HB40
m.16303,320,3,0,0,0,1,0,-0.366,-0.458,0.062091,0.646231,0.003378,Putative N-acetylated-alpha-linked acidic dipeptidase OS=Homo sapiens GN=FOLH1B PE=2 SV=1,Q9HBA9
m.24285,239,0,0,1,0,0,0,0.317,0.3175,0.988346,0.392428,0.687449,Retinol dehydrogenase 14 OS=Homo sapiens GN=RDH14 PE=1 SV=1,Q9HBH5
m.7637,482,6,7,7,6,4,3,-0.194,-0.5523,0.015445,0.638595,0.000742,Glutaredoxin OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=grx PE=3 SV=1,Q9HU55
m.17646,144,0,0,0,1,0,1,0.2,0.2193,0.998421,0.501619,0.621684,Unconventional myosin-VI OS=Gallus gallus GN=MYO6 PE=1 SV=1,Q9I8D1
m.5315,882,13,22,12,21,22,23,0.57,2.9344,0,0,0.598373,Coatomer subunit gamma-2 OS=Takifugu rubripes GN=copg2 PE=3 SV=1,Q9I8E6
m.2882,499,2,0,0,0,0,0,-0.146,-0.1857,0.716559,0.660977,0.09388,"Beta,beta-carotene 15,15_-monooxygenase OS=Gallus gallus GN=BCMO1 PE=1 SV=1",Q9I993
m.1283,112,18,12,12,14,12,11,0.109,0.4646,0.944964,0.199918,0.734949,60S ribosomal protein L31 OS=Paralichthys olivaceus GN=rpl31 PE=2 SV=1,Q9IA76
m.28534,505,27,11,31,22,27,23,0.297,1.7067,0,0,0.656708,Kielin/chordin-like protein OS=Xenopus laevis GN=kcp PE=2 SV=1,Q9IBG7
m.27262,177,0,0,0,1,1,1,0.217,0.2731,0.992878,0.445487,0.661961,Putative ankyrin repeat protein FPV245 OS=Fowlpox virus (strain NVSL) GN=FPV245 PE=4 SV=1,Q9J4Z5
m.1761,2437,13,17,6,14,12,6,0.113,0.4584,0.949062,0.2076,0.733842,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2,Q9JHU4
m.16446,276,3,0,0,1,0,1,-0.348,-0.4378,0.081259,0.647886,0.004564,Omega-amidase NIT2 OS=Mus musculus GN=Nit2 PE=1 SV=1,Q9JHW2
m.32275,204,2,4,1,3,3,4,0.613,1.2279,0.000132,0.000003,0.69362,GRIP1-associated protein 1 OS=Rattus norvegicus GN=Gripap1 PE=1 SV=1,Q9JHZ4
m.5372,300,0,0,1,0,0,0,0.18,0.2045,0.999957,0.515346,0.608569,GRIP1-associated protein 1 OS=Rattus norvegicus GN=Gripap1 PE=1 SV=1,Q9JHZ4
m.1802,545,1,1,0,0,1,2,0.515,0.6103,0.720065,0.063478,0.745525,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase OS=Mus musculus GN=Ngly1 PE=1 SV=2,Q9JI78
m.5677,398,11,5,10,11,10,8,0.33,1.2336,0.000116,0.000003,0.693127,Nucleobindin-2 OS=Rattus norvegicus GN=Nucb2 PE=2 SV=1,Q9JI85
m.28278,688,5,4,3,7,8,7,0.835,2.2339,0,0,0.625325,Long-chain-fatty-acid--CoA ligase 1 OS=Cavia porcellus GN=ACSL1 PE=2 SV=1,Q9JID6
m.6975,388,6,3,8,7,7,6,0.412,1.2037,0.000223,0.000005,0.695733,Nuclear pore complex protein Nup50 OS=Mus musculus GN=Nup50 PE=1 SV=3,Q9JIH2
m.10547,1648,0,1,0,0,0,0,0.156,0.1807,1,0.535826,0.585535,Serine/threonine-protein kinase WNK1 OS=Rattus norvegicus GN=Wnk1 PE=1 SV=2,Q9JIH7
m.34343,261,0,1,0,0,0,0,0.247,0.2583,0.994103,0.461879,0.651977,Transmembrane protease serine 2 OS=Mus musculus GN=Tmprss2 PE=2 SV=3,Q9JIQ8
m.15586,275,40,44,37,39,39,41,0.216,1.7105,0,0,0.656445,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Rattus norvegicus GN=Slc9a3r1 PE=1 SV=3,Q9JJ19
m.23999,359,2,4,1,0,0,0,-0.738,-0.968,0.000003,0.612338,0,Cullin-5 OS=Rattus norvegicus GN=Cul5 PE=1 SV=3,Q9JJ31
m.33151,123,0,0,1,0,0,0,0.157,0.1714,1,0.543293,0.575881,Sjoegren syndrome nuclear autoantigen 1 homolog OS=Mus musculus GN=Ssna1 PE=1 SV=1,Q9JJ94
m.22365,587,14,10,8,16,10,9,0.338,1.3515,0.000007,0,0.683254,Ubiquilin-1 OS=Rattus norvegicus GN=Ubqln1 PE=1 SV=1,Q9JJP9
m.11828,346,0,0,0,0,1,0,0.091,0.1019,1,0.590043,0.491982,Partitioning defective 6 homolog gamma OS=Mus musculus GN=Pard6g PE=2 SV=1,Q9JK84
m.29602,100,2,0,0,0,0,0,-0.122,-0.145,0.820579,0.659388,0.133636,Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus GN=Iqgap1 PE=1 SV=2,Q9JKF1
m.21313,552,26,21,8,33,31,29,0.774,4.3675,0,0,0.571181,MAGUK p55 subfamily member 6 OS=Mus musculus GN=Mpp6 PE=1 SV=1,Q9JLB0
m.11767,390,1,1,3,0,0,0,-0.408,-0.5089,0.030073,0.64207,0.001525,ARF GTPase-activating protein GIT2 OS=Mus musculus GN=Git2 PE=1 SV=2,Q9JLQ2
m.23676,166,4,4,3,2,0,1,-0.833,-1.3873,0,0.59529,0,Actin-related protein 2/3 complex subunit 3 OS=Mus musculus GN=Arpc3 PE=1 SV=3,Q9JM76
m.1339,464,48,14,11,20,18,16,-0.052,-0.294,0.377212,0.658368,0.030359,Isocitrate lyase OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) GN=aceA PE=3 SV=1,Q9K9H0
m.1850,391,8,9,3,0,0,0,-1.834,-2.7758,0,0.571703,0,Clavaminate synthase-like protein At3g21360 OS=Arabidopsis thaliana GN=At3g21360 PE=1 SV=1,Q9LIG0
m.20660,110,3,0,1,0,0,0,-0.293,-0.3706,0.182167,0.653225,0.01168,Pentatricopeptide repeat-containing protein At3g13150 OS=Arabidopsis thaliana GN=At3g13150 PE=2 SV=1,Q9LK58
m.4337,518,1,0,0,0,0,0,0.115,0.1249,1,0.576271,0.522006,CBL-interacting serine/threonine-protein kinase 18 OS=Arabidopsis thaliana GN=CIPK18 PE=1 SV=1,Q9LP51
m.20681,102,0,1,0,0,0,0,0.257,0.2964,0.990585,0.418321,0.676133,4-coumarate--CoA ligase-like 1 OS=Arabidopsis thaliana GN=4CLL1 PE=2 SV=1,Q9LQ12
m.2705,268,57,57,25,42,41,33,0.066,0.5368,0.869884,0.120582,0.743505,17-beta-hydroxysteroid dehydrogenase 14 OS=Bos taurus GN=HSD17B14 PE=2 SV=1,Q9MYP6
m.25715,184,2,2,3,6,4,4,0.955,2.1049,0,0,0.632068,Heparanase OS=Bos taurus GN=HPSE PE=2 SV=2,Q9MYY0
m.308,201,31,24,52,32,34,36,0.182,1.3476,0.000008,0,0.68357,Mammalian ependymin-related protein 1 OS=Macaca fascicularis GN=EPDR1 PE=2 SV=3,Q9N0C7
m.8941,216,29,27,6,13,7,3,-0.773,-3.0294,0,0.569617,0,Glutathione S-transferase Mu 1 OS=Bos taurus GN=GSTM1 PE=1 SV=3,Q9N0V4
m.26883,228,0,0,1,0,0,0,0.195,0.2095,0.99946,0.510792,0.613104,Retinol dehydrogenase 8 OS=Bos taurus GN=RDH8 PE=1 SV=1,Q9N126
m.3627,290,2,3,1,0,0,0,-0.561,-0.7757,0.000266,0.622901,0.00001,Retinol dehydrogenase 8 OS=Bos taurus GN=RDH8 PE=1 SV=1,Q9N126
m.6328,249,0,0,1,6,7,6,2.227,3.4683,0,0,0.585806,Retinol dehydrogenase 8 OS=Bos taurus GN=RDH8 PE=1 SV=1,Q9N126
m.8696,278,7,2,6,0,0,0,-1.53,-2.254,0,0.57693,0,Kinesin-related protein 1 OS=Dictyostelium discoideum GN=kif1 PE=1 SV=1,Q9NGQ2
m.15205,198,5,1,0,1,0,1,-0.774,-1.017,0.000001,0.60997,0,"Signal peptide, CUB and EGF-like domain-containing protein 2 OS=Homo sapiens GN=SCUBE2 PE=2 SV=2",Q9NQ36
m.4131,303,2,0,1,3,3,4,1.199,2.068,0,0,0.634108,Leucine zipper transcription factor-like protein 1 OS=Homo sapiens GN=LZTFL1 PE=1 SV=1,Q9NQ48
m.31748,138,8,6,6,5,7,6,0.148,0.4795,0.934174,0.181936,0.737352,Prefoldin subunit 4 OS=Homo sapiens GN=PFDN4 PE=1 SV=1,Q9NQP4
m.12711,510,12,13,5,21,14,10,0.643,2.6977,0,0,0.605918,Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=3,Q9NQW7
m.27731,112,0,1,0,3,3,3,1.42,2.0011,0,0,0.637927,Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=3,Q9NQW7
m.10346,250,0,0,0,1,0,1,0.175,0.2071,0.999766,0.512989,0.610941,Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2,Q9NR16
m.983,610,3,5,1,2,0,1,-0.713,-1.0916,0,0.606574,0,Sodium- and chloride-dependent GABA transporter 2 OS=Homo sapiens GN=SLC6A13 PE=1 SV=3,Q9NSD5
m.8065,382,0,0,0,0,0,1,0.177,0.2178,0.998579,0.503045,0.620397,Gamma-1-syntrophin OS=Homo sapiens GN=SNTG1 PE=1 SV=1,Q9NSN8
m.18144,177,2,2,0,3,3,3,0.889,1.5336,0,0,0.669168,Protein FAM49B OS=Homo sapiens GN=FAM49B PE=1 SV=1,Q9NUQ9
m.19704,127,1,3,0,1,1,0,-0.404,-0.5001,0.034245,0.642785,0.001757,Protein FAM49B OS=Homo sapiens GN=FAM49B PE=1 SV=1,Q9NUQ9
m.4453,365,2,3,2,2,1,0,-0.386,-0.6322,0.004076,0.632519,0.000178,Alpha-parvin OS=Homo sapiens GN=PARVA PE=1 SV=1,Q9NVD7
m.13191,264,8,2,10,3,0,0,-1.212,-2.267,0,0.57675,0,Pyridoxine-5_-phosphate oxidase OS=Homo sapiens GN=PNPO PE=1 SV=1,Q9NVS9
m.8231,396,2,0,0,0,0,0,-0.088,-0.1063,0.895951,0.655981,0.180066,CUE domain-containing protein 1 OS=Homo sapiens GN=CUEDC1 PE=1 SV=1,Q9NWM3
m.17244,319,0,0,0,1,1,2,0.622,0.7203,0.390468,0.01929,0.740419,tRNA selenocysteine 1-associated protein 1 OS=Homo sapiens GN=TRNAU1AP PE=1 SV=1,Q9NX07
m.18017,297,0,1,0,0,0,0,0.157,0.1859,1,0.531521,0.590774,Retinol dehydrogenase 8 OS=Homo sapiens GN=RDH8 PE=1 SV=1,Q9NYR8
m.2677,291,0,4,1,0,0,0,-0.569,-0.7499,0.000449,0.624507,0.000017,Retinol dehydrogenase 8 OS=Homo sapiens GN=RDH8 PE=1 SV=1,Q9NYR8
m.7819,226,2,1,2,2,2,2,0.399,0.6696,0.548554,0.034537,0.743658,UDP-glucose:glycoprotein glucosyltransferase 2 OS=Homo sapiens GN=UGGT2 PE=1 SV=4,Q9NYU1
m.12829,263,0,2,2,2,2,2,0.437,0.6832,0.505726,0.029704,0.74291,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens GN=UGGT1 PE=1 SV=3,Q9NYU2
m.16146,338,0,1,0,0,0,0,0.195,0.2343,0.996601,0.48694,0.634047,Upstream-binding protein 1 OS=Homo sapiens GN=UBP1 PE=2 SV=1,Q9NZI7
m.24296,167,0,0,0,0,1,1,0.161,0.1934,1,0.525145,0.598124,Sacsin OS=Homo sapiens GN=SACS PE=1 SV=2,Q9NZJ4
m.5191,2106,12,14,1,24,24,21,1.193,5.5666,0,0,0.562404,Myoferlin OS=Homo sapiens GN=MYOF PE=1 SV=1,Q9NZM1
m.8227,922,1,5,0,13,9,6,1.671,3.4161,0,0,0.586797,Myoferlin OS=Homo sapiens GN=MYOF PE=1 SV=1,Q9NZM1
m.1073,371,9,27,13,8,9,8,-0.447,-1.8173,0,0.584163,0,Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1,Q9NZR1
m.20828,231,4,2,4,5,5,5,0.628,1.5947,0,0,0.664674,COMM domain-containing protein 9 OS=Homo sapiens GN=COMMD9 PE=1 SV=2,Q9P000
m.33570,128,0,0,0,0,0,2,0.611,0.7693,0.255067,0.010424,0.736397,Peroxisomal sarcosine oxidase OS=Homo sapiens GN=PIPOX PE=1 SV=2,Q9P0Z9
m.13371,1200,27,17,17,18,13,15,-0.037,-0.1925,0.696901,0.661073,0.088157,"Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=LARS PE=1 SV=2",Q9P2J5
m.3027,702,1,1,0,0,0,0,0.218,0.2514,0.995051,0.469282,0.647049,Ankyrin repeat and FYVE domain-containing protein 1 OS=Homo sapiens GN=ANKFY1 PE=1 SV=2,Q9P2R3
m.8978,174,5,0,0,6,5,5,1.028,2.2034,0,0,0.626864,GMP reductase 2 OS=Homo sapiens GN=GMPR2 PE=1 SV=1,Q9P2T1
m.4897,319,72,47,44,72,76,77,0.552,5.274,0,0,0.563618,60S ribosomal protein L4-B OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=rpl4b PE=3 SV=1,Q9P784
m.9342,193,20,16,17,17,19,20,0.303,1.623,0,0,0.662626,Rho-related GTP-binding protein RhoC OS=Gallus gallus GN=RHOC PE=1 SV=1,Q9PSX7
m.13432,425,0,0,0,1,0,0,0.176,0.1985,1,0.520696,0.602988,Transforming acidic coiled-coil-containing protein 3 OS=Xenopus laevis GN=tacc3 PE=1 SV=2,Q9PTG8
m.1042,331,1,0,1,3,3,3,1.442,2.0353,0,0,0.635955,Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1,Q9PTS2
m.494,400,8,5,17,12,12,12,0.434,1.7109,0,0,0.656417,Cold-inducible RNA-binding protein OS=Lithobates catesbeiana GN=cirbp PE=2 SV=1,Q9PTX2
m.12786,174,5,9,0,3,5,5,0.102,0.2756,0.992636,0.44265,0.663571,Acidic phospholipase A2 S7-48J OS=Austrelaps superbus PE=2 SV=1,Q9PUI0
m.3052,140,0,1,1,2,1,0,0.513,0.6608,0.575672,0.03799,0.744086,Pericentriolar material 1 protein OS=Xenopus laevis GN=pcm1 PE=1 SV=1,Q9PVV4
m.24081,202,2,4,1,4,5,2,0.642,1.2651,0.000057,0.000001,0.690424,Proteasome subunit alpha type-6 OS=Mus musculus GN=Psma6 PE=1 SV=1,Q9QUM9
m.22573,200,1,0,3,1,1,0,-0.343,-0.4713,0.051699,0.64514,0.002758,Dickkopf-related protein 3 OS=Mus musculus GN=Dkk3 PE=2 SV=1,Q9QUN9
m.29299,328,20,4,18,10,12,12,0.028,0.1218,1,0.578221,0.518087,Dickkopf-related protein 3 OS=Mus musculus GN=Dkk3 PE=2 SV=1,Q9QUN9
m.22412,708,6,12,5,1,2,4,-0.987,-2.3128,0,0.576134,0,Prolyl endopeptidase OS=Mus musculus GN=Prep PE=2 SV=1,Q9QUR6
m.8913,420,0,0,3,0,0,0,-0.311,-0.4164,0.106698,0.649624,0.006219,Homer protein homolog 2 OS=Mus musculus GN=Homer2 PE=1 SV=1,Q9QWW1
m.17718,670,33,9,19,20,19,20,0.218,1.1574,0.000588,0.000014,0.699842,"Acetyl-coenzyme A synthetase, cytoplasmic OS=Mus musculus GN=Acss2 PE=1 SV=2",Q9QXG4
m.13427,257,0,0,2,2,1,2,0.425,0.5806,0.790619,0.083536,0.745386,Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide OS=Mus musculus GN=Dapp1 PE=1 SV=1,Q9QXT1
m.3462,8400,80,46,27,66,56,58,0.406,3.7858,0,0,0.579872,Microtubule-actin cross-linking factor 1 OS=Mus musculus GN=Macf1 PE=1 SV=2,Q9QXZ0
m.3463,3039,58,33,27,45,38,45,0.318,2.3867,0,0,0.618147,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=1 SV=4",Q9QXZ0
m.9808,239,0,0,1,0,0,0,0.306,0.3293,0.986994,0.377484,0.693195,DnaJ homolog subfamily B member 2 OS=Mus musculus GN=Dnajb2 PE=1 SV=2,Q9QYI5
m.12941,323,7,4,1,18,15,13,1.594,5.276,0,0,0.563608,Ketimine reductase mu-crystallin OS=Rattus norvegicus GN=Crym PE=1 SV=1,Q9QYU4
m.18584,365,3,7,1,0,0,0,-1.167,-1.7382,0,0.585811,0,N-acetyl-D-glucosamine kinase OS=Mus musculus GN=Nagk PE=2 SV=3,Q9QZ08
m.16029,467,3,1,2,6,4,5,1.238,2.1646,0,0,0.628871,Actin-related protein 10 OS=Mus musculus GN=Actr10 PE=1 SV=2,Q9QZB7
m.4541,228,0,0,0,1,0,0,0.186,0.2273,0.997491,0.493887,0.628391,Abl interactor 1 OS=Rattus norvegicus GN=Abi1 PE=1 SV=3,Q9QZM5
m.19598,1537,2,0,0,1,0,1,-0.166,-0.2054,0.658475,0.661139,0.078008,Afadin OS=Mus musculus GN=Mllt4 PE=1 SV=3,Q9QZQ1
m.12647,377,1,2,0,0,0,0,-0.155,-0.178,0.738076,0.660814,0.100674,CUB and zona pellucida-like domain-containing protein 1 OS=Rattus norvegicus GN=Cuzd1 PE=2 SV=2,Q9QZT0
m.4533,744,5,12,6,4,9,7,0.079,0.2504,0.995125,0.470341,0.64632,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 OS=Mus musculus GN=Plod3 PE=1 SV=1",Q9R0E1
m.12238,232,58,59,60,48,52,48,0.067,0.5808,0.790183,0.083387,0.74539,Actin-related protein 2/3 complex subunit 1A OS=Mus musculus GN=Arpc1a PE=1 SV=1,Q9R0Q6
m.5056,403,20,103,0,10,10,9,-1.235,-5.6814,0,0.559742,0,Melanotransferrin OS=Mus musculus GN=Mfi2 PE=2 SV=1,Q9R0R1
m.16992,369,0,0,0,0,0,1,0.269,0.308,0.989391,0.404226,0.682525,FH protein interacting protein FIP2 OS=Arabidopsis thaliana GN=FIP2 PE=1 SV=1,Q9SE95
m.7748,455,0,2,0,0,0,0,-0.065,-0.0782,0.936509,0.652128,0.218488,Flavin-containing monooxygenase FMO GS-OX3 OS=Arabidopsis thaliana GN=FMOGS-OX3 PE=2 SV=1,Q9SXE1
m.3788,369,0,0,0,1,0,0,0.195,0.2256,0.997546,0.495547,0.626987,Probable rhamnose biosynthetic enzyme 1 OS=Arabidopsis thaliana GN=RHM1 PE=1 SV=1,Q9SYM5
m.18047,117,0,0,1,0,0,0,0.19,0.2226,0.997899,0.498455,0.624483,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Bos taurus GN=FKBP4 PE=1 SV=4,Q9TRY0
m.36412,362,1,0,0,2,2,2,0.898,1.1863,0.000322,0.000007,0.697267,Signal transducer and activator of transcription 5B OS=Sus scrofa GN=STAT5B PE=2 SV=1,Q9TUZ0
m.26896,558,0,0,0,2,0,1,0.462,0.5667,0.818643,0.094318,0.745021,Poly(ADP-ribose) polymerase pme-5 OS=Caenorhabditis elegans GN=pme-5 PE=2 SV=1,Q9TXQ1
m.12757,255,24,42,40,32,28,31,0.096,0.6637,0.566603,0.036822,0.74395,Tropomyosin-2 OS=Podocoryne carnea GN=TPM2 PE=2 SV=1,Q9U5M4
m.14915,293,32,76,40,72,74,78,0.653,5.967,0,0,0.561352,Tropomyosin-2 OS=Podocoryne carnea GN=TPM2 PE=2 SV=1,Q9U5M4
m.6688,381,4,4,5,8,10,9,0.997,2.9997,0,0,0.596501,V-type proton ATPase subunit C OS=Manduca sexta PE=2 SV=1,Q9U5N1
m.26379,171,1,7,4,2,2,5,-0.083,-0.1843,0.720419,0.660951,0.095089,Calmodulin OS=Myxine glutinosa PE=2 SV=3,Q9U6D3
m.11115,300,7,10,0,8,1,8,0.143,0.4369,0.960552,0.234992,0.729483,Techylectin-5B OS=Tachypleus tridentatus PE=1 SV=1,Q9U8W7
m.15325,4828,4,0,0,0,2,0,-0.178,-0.2493,0.51897,0.660369,0.049973,Apolipophorins OS=Locusta migratoria PE=1 SV=2,Q9U943
m.5305,270,3,1,0,6,7,5,1.525,3.0363,0,0,0.595488,60S ribosomal protein L8 OS=Anopheles gambiae GN=RpL8 PE=2 SV=2,Q9U9L2
m.11180,213,6,6,7,13,13,17,1.08,4.0542,0,0,0.575318,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1,Q9UBC2
m.31603,496,1,6,2,5,8,7,1.032,2.5729,0,0,0.610482,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1,Q9UBC2
m.37859,172,2,0,3,2,4,3,0.632,1.2235,0.000145,0.000003,0.694003,C-type mannose receptor 2 OS=Homo sapiens GN=MRC2 PE=1 SV=2,Q9UBG0
m.15098,368,7,4,3,8,6,6,0.595,1.6461,0,0,0.660971,Copine-7 OS=Homo sapiens GN=CPNE7 PE=2 SV=1,Q9UBL6
m.9939,196,14,14,23,17,20,19,0.335,1.6791,0,0,0.658635,Vacuolar protein sorting-associated protein 29 OS=Homo sapiens GN=VPS29 PE=1 SV=1,Q9UBQ0
m.18556,357,50,37,43,31,33,31,-0.086,-0.682,0.001661,0.628988,0.000068,Glyoxylate reductase/hydroxypyruvate reductase OS=Homo sapiens GN=GRHPR PE=1 SV=1,Q9UBQ7
m.35827,169,2,0,0,0,0,0,-0.051,-0.0602,0.956505,0.648971,0.244806,CAP-Gly domain-containing linker protein 2 OS=Homo sapiens GN=CLIP2 PE=1 SV=1,Q9UDT6
m.23110,258,4,3,2,11,14,15,1.77,4.84,0,0,0.566369,Protein NipSnap homolog 3A OS=Homo sapiens GN=NIPSNAP3A PE=1 SV=2,Q9UFN0
m.17588,743,13,12,4,0,0,0,-2.187,-3.2156,0,0.568314,0,Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2,Q9UGM3
m.2661,154,8,1,1,5,6,5,0.742,1.6878,0,0,0.658025,Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2,Q9UGM3
m.4990,351,5,6,0,2,1,3,-0.511,-0.9878,0.000002,0.611368,0,Protein NDRG3 OS=Homo sapiens GN=NDRG3 PE=1 SV=2,Q9UGV2
m.3610,348,0,0,0,1,2,1,0.489,0.598,0.750657,0.071299,0.745567,Rhabdoid tumor deletion region protein 1 OS=Homo sapiens GN=RTDR1 PE=2 SV=1,Q9UHP6
m.32350,106,4,11,5,5,4,7,-0.018,-0.0502,0.965936,0.646967,0.259893,Prefoldin subunit 2 OS=Homo sapiens GN=PFDN2 PE=1 SV=1,Q9UHV9
m.28820,245,52,31,36,44,38,36,0.223,1.8724,0,0,0.645727,"GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens GN=AK3 PE=1 SV=4",Q9UIJ7
