Protein,Len,NO,NO,NO,ON,ON,ON,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,
m.8631,497,0,0,0,0,1,0,0.309,0.3532,1,0.511014,0.661162,5_-AMP-activated protein kinase subunit gamma-2 OS=Homo sapiens GN=PRKAG2 PE=1 SV=1,Q9UGJ0
m.8633,225,0,0,0,0,0,1,0.344,0.3681,1,0.494887,0.670413,Serine/threonine-protein phosphatase 5 OS=Homo sapiens GN=PPP5C PE=1 SV=1,P53041
m.8641,427,1,0,0,3,0,1,0.846,1.1079,0.011836,0.000626,0.708067,Histone deacetylase 3 OS=Xenopus tropicalis GN=hdac3 PE=2 SV=1,Q28DV3
m.8646,552,2,3,1,1,2,3,0.249,0.413,1,0.441925,0.694422,NudC domain-containing protein 1 OS=Danio rerio GN=nudcd1 PE=2 SV=1,Q503C8
m.8649,585,0,0,0,0,0,1,0.407,0.4675,1,0.370383,0.716779,Serine/threonine-protein kinase TBK1 OS=Homo sapiens GN=TBK1 PE=1 SV=1,Q9UHD2
m.865,271,52,56,70,44,18,44,-0.217,-1.7975,0,0.614961,0,F-actin-capping protein subunit alpha OS=Drosophila melanogaster GN=cpa PE=2 SV=1,Q9W2N0
m.8655,152,0,0,0,3,0,0,0.901,1.1194,0.009975,0.00052,0.70666,Retinol dehydrogenase 8 OS=Bos taurus GN=RDH8 PE=1 SV=1,Q9N126
m.8658,245,0,0,0,0,0,0,0.258,0.3046,0.999842,0.558263,0.625992,m.8658,
m.8667,477,0,0,0,0,0,0,0.178,0.1971,1,0.634769,0.517378,Cyclin-dependent kinase 17 OS=Homo sapiens GN=CDK17 PE=1 SV=2,Q00537
m.8669,206,7,5,7,1,2,0,-1.311,-2.2361,0,0.608785,0,m.8669,
m.869,634,0,0,0,0,0,1,0.295,0.3435,1,0.521104,0.654767,"Beta-1,4-N-acetylgalactosaminyltransferase 3 OS=Mus musculus GN=B4galnt3 PE=2 SV=1",Q6L8S8
m.8690,246,0,0,1,0,0,0,0.221,0.2681,1,0.588386,0.594078,Chymotrypsin-like elastase family member 2A OS=Homo sapiens GN=CELA2A PE=1 SV=1,P08217
m.8693,201,6,3,2,4,2,0,-0.171,-0.3399,0.127492,0.693071,0.009506,WAP four-disulfide core domain protein 2 OS=Canis familiaris GN=WFDC2 PE=2 SV=1,Q28894
m.8696,278,7,2,6,1,6,1,-0.383,-0.866,0.000022,0.648009,0.000001,Kinesin-related protein 1 OS=Dictyostelium discoideum GN=kif1 PE=1 SV=1,Q9NGQ2
m.8703,160,1,2,1,1,4,1,0.758,1.0927,0.014786,0.000796,0.709954,Ubiquitin-like protein 4A OS=Danio rerio GN=ubl4a PE=2 SV=1,Q7ZWB2
m.8709,507,33,12,11,21,18,11,0.214,1.0773,0.018449,0.001012,0.711897,Arylsulfatase B OS=Mus musculus GN=Arsb PE=2 SV=3,P50429
m.873,140,14,11,11,11,8,19,0.361,1.5551,0.000002,0,0.667432,40S ribosomal protein S12 OS=Sus scrofa GN=RPS12 PE=2 SV=2,P46405
m.8730,570,2,0,3,4,1,11,1.31,2.7626,0,0,0.61779,Calcium-binding mitochondrial carrier protein Aralar2 OS=Homo sapiens GN=SLC25A13 PE=1 SV=2,Q9UJS0
m.8735,575,1,1,4,1,2,0,-0.202,-0.3181,0.161244,0.69527,0.012493,Coronin-2A OS=Homo sapiens GN=CORO2A PE=2 SV=2,Q92828
m.8740,1003,1,0,4,1,0,0,-0.53,-0.69,0.000718,0.660199,0.000036,Enhancer of mRNA-decapping protein 4 OS=Danio rerio GN=edc4 PE=3 SV=1,Q1LUT1
m.8756,335,0,0,0,0,0,0,0.377,0.4566,1,0.385177,0.712836,Golgi-associated plant pathogenesis-related protein 1 OS=Mus musculus GN=Glipr2 PE=2 SV=3,Q9CYL5
m.8779,150,0,2,0,1,0,0,-0.058,-0.0749,0.819265,0.707261,0.142199,Trans-L-3-hydroxyproline dehydratase OS=Saccoglossus kowalevskii GN=l3hypdh PE=1 SV=1,P0DKB4
m.8783,101,0,0,1,0,0,0,0.263,0.2987,0.999797,0.563438,0.621167,m.8783,
m.879,158,0,0,0,0,0,0,0.157,0.17,1,0.648673,0.483075,SUMO-conjugating enzyme UBC9 OS=Xenopus tropicalis GN=ube2i PE=2 SV=1,Q28CQ4
m.8791,125,0,0,1,0,1,0,0.233,0.2877,1,0.57277,0.611832,Predicted protein OS=Nematostella vectensis GN=v1g241933 PE=4 SV=1,3272964
m.8796,376,11,16,8,6,8,11,-0.027,-0.1054,0.741231,0.708132,0.111867,Alpha-centractin OS=Rattus norvegicus GN=Actr1a PE=1 SV=1,P85515
m.8799,389,74,39,93,69,34,72,0.14,1.3923,0.000086,0.000003,0.679262,m.8799,
m.8820,398,0,0,0,0,0,2,0.577,0.686,0.763125,0.103244,0.752653,Predicted protein OS=Nematostella vectensis GN=v1g217653 PE=4 SV=1,3283051
m.8830,140,0,0,0,0,0,0,0.303,0.3444,1,0.520182,0.655373,Bifunctional protein NCOAT OS=Mus musculus GN=Mgea5 PE=1 SV=2,Q9EQQ9
m.884,278,0,0,0,0,0,0,0.146,0.1702,1,0.648578,0.483338,RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1,A9JTG5
m.8844,218,1,0,0,0,0,2,0.617,0.789,0.443668,0.040348,0.747886,m.8844,
m.886,1029,0,0,0,1,0,0,0.252,0.2894,1,0.571355,0.613304,Calsyntenin-1 OS=Rattus norvegicus GN=Clstn1 PE=2 SV=1,Q6Q0N0
m.8863,268,0,1,0,0,0,0,0.266,0.2979,0.999849,0.564131,0.620504,Monoglyceride lipase OS=Rattus norvegicus GN=Mgll PE=1 SV=1,Q8R431
m.8866,797,0,0,0,0,0,11,1.865,2.831,0,0,0.616127,KAT8 regulatory NSL complex subunit 3 OS=Homo sapiens GN=KANSL3 PE=1 SV=2,Q9P2N6
m.8870,312,20,26,29,27,33,46,0.656,4.195,0,0,0.600138,Caspase-3 OS=Mesocricetus auratus GN=CASP3 PE=2 SV=1,Q60431
m.8872,406,36,39,26,33,19,44,0.25,1.7141,0,0,0.65773,Actin-related protein 2-A OS=Danio rerio GN=actr2a PE=2 SV=1,Q7SXW6
m.8875,267,28,13,19,22,20,0,-0.021,-0.1038,0.745713,0.708112,0.113339,40S ribosomal protein S6 OS=Rattus norvegicus GN=Rps6 PE=1 SV=1,P62755
m.8877,241,20,21,14,6,15,9,-0.307,-1.3138,0,0.627099,0,Growth factor receptor-bound protein 2 OS=Mus musculus GN=Grb2 PE=1 SV=1,Q60631
m.8880,300,26,13,16,23,5,2,-0.317,-1.4026,0,0.624151,0,Sodium/potassium-transporting ATPase subunit beta-1 OS=Drosophila melanogaster GN=nrv1 PE=1 SV=2,Q24046
m.8882,347,0,0,0,0,0,0,0.298,0.3379,1,0.52678,0.650938,Uncharacterized oxidoreductase YrbE OS=Bacillus subtilis (strain 168) GN=yrbE PE=3 SV=2,O05389
m.8885,757,21,25,18,19,15,7,-0.133,-0.6359,0.001869,0.664537,0.000098,Extended synaptotagmin-2 OS=Mus musculus GN=Esyt2 PE=1 SV=1,Q3TZZ7
m.8900,399,137,107,159,146,104,150,0.297,4.1127,0,0,0.600764,CUB and zona pellucida-like domain-containing protein 1 OS=Mus musculus GN=Cuzd1 PE=2 SV=2,P70412
m.8901,709,2,0,0,0,0,5,0.911,1.3609,0.00016,0.000006,0.681856,Ataxin-2-like protein OS=Mus musculus GN=Atxn2l PE=1 SV=1,Q7TQH0
m.8903,180,23,19,24,62,0,71,1.003,6.5969,0,0,0.592677,m.8903,
m.8908,660,2,3,1,2,2,0,0.059,0.0916,1,0.67917,0.371543,Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens GN=EIF4G1 PE=1 SV=4,Q04637
m.8913,420,0,0,3,2,0,0,0.101,0.1417,1,0.661236,0.444622,Homer protein homolog 2 OS=Mus musculus GN=Homer2 PE=1 SV=1,Q9QWW1
m.8914,480,5,5,3,9,6,2,0.584,1.4892,0.000011,0,0.67194,"Arginine--tRNA ligase, cytoplasmic OS=Xenopus tropicalis GN=rars PE=2 SV=1",Q6P1S4
m.8917,676,236,140,217,180,100,95,-0.149,-2.3521,0,0.607285,0,Heat shock cognate 71 kDa protein OS=Rattus norvegicus GN=Hspa8 PE=1 SV=1,P63018
m.892,692,33,33,34,12,15,0,-1,-4.5078,0,0.594543,0,Arachidonate 5-lipoxygenase OS=Mus musculus GN=Alox5 PE=1 SV=3,P48999
m.8921,707,0,1,0,0,0,0,0.248,0.2955,1,0.566196,0.618498,Protein kinase C-like 1B OS=Caenorhabditis elegans GN=pkc-1 PE=2 SV=2,P34885
m.8924,116,6,6,5,4,6,0,-0.128,-0.3277,0.145627,0.694308,0.011088,60S ribosomal protein L27 OS=Rattus norvegicus GN=Rpl27 PE=2 SV=2,P61354
m.8927,151,42,18,21,14,11,7,-0.633,-3.077,0,0.599685,0,Myosin-2 essential light chain OS=Drosophila melanogaster GN=Mlc-c PE=1 SV=1,P54357
m.8928,359,56,68,42,45,25,49,-0.03,-0.2626,0.276083,0.700536,0.024074,UV excision repair protein RAD23 homolog B OS=Bos taurus GN=RAD23B PE=2 SV=1,Q29RK4
m.8931,289,0,1,0,0,0,0,0.303,0.3291,1,0.535478,0.644712,"Protein SCO1 homolog, mitochondrial OS=Homo sapiens GN=SCO1 PE=1 SV=1",O75880
m.8932,510,19,15,24,15,15,5,-0.206,-0.953,0.000003,0.642922,0,Coatomer subunit delta OS=Bos taurus GN=ARCN1 PE=1 SV=1,P53619
m.8936,197,26,27,22,9,11,11,-0.591,-2.762,0,0.602428,0,Proteasome subunit beta type-2 OS=Homo sapiens GN=PSMB2 PE=1 SV=1,P49721
m.8939,146,18,21,18,10,5,14,-0.37,-1.5411,0,0.62018,0,Myotrophin OS=Homo sapiens GN=MTPN PE=1 SV=2,P58546
m.8941,216,29,27,6,16,38,27,0.57,3.2474,0,0,0.608467,Glutathione S-transferase Mu 1 OS=Bos taurus GN=GSTM1 PE=1 SV=3,Q9N0V4
m.8943,224,3,0,0,0,2,0,0.016,0.0226,0.973874,0.696259,0.267896,Riboflavin-binding protein OS=Gallus gallus PE=1 SV=2,P02752
m.8946,234,0,1,0,0,0,0,0.243,0.2866,1,0.573681,0.610874,Uncharacterized protein TM_0508 OS=Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099) GN=TM_0508 PE=4 SV=1,Q9WYX8
m.8947,2092,9,4,2,17,6,1,0.759,2.3987,0,0,0.62838,m.8947,
m.8953,221,13,14,15,16,14,6,0.141,0.638,0.875545,0.148719,0.751012,Proteasome subunit beta type-6 OS=Bos taurus GN=PSMB6 PE=1 SV=1,Q3MHN0
m.8954,500,0,0,0,0,0,0,0.189,0.2072,1,0.629082,0.529475,Spondin-2 OS=Homo sapiens GN=SPON2 PE=1 SV=3,Q9BUD6
m.8957,494,4,0,6,3,3,2,-0.009,-0.02,0.92443,0.702773,0.208307,Kinesin-like protein KIF28P OS=Homo sapiens GN=KIF28P PE=3 SV=2,B7ZC32
m.8974,836,0,0,0,0,0,0,0.303,0.3131,0.999802,0.550595,0.632723,Anion exchange protein 3 OS=Mus musculus GN=Slc4a3 PE=1 SV=2,P16283
m.8978,174,5,0,0,2,4,0,0.242,0.4414,1,0.405451,0.706913,GMP reductase 2 OS=Homo sapiens GN=GMPR2 PE=1 SV=1,Q9P2T1
m.898,376,0,0,0,0,0,0,0.272,0.3167,0.999779,0.547272,0.635497,Stimulator of interferon genes protein OS=Mus musculus GN=Tmem173 PE=1 SV=2,Q3TBT3
m.8982,213,19,12,30,22,5,5,-0.358,-1.535,0,0.620337,0,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10028476 PE=4 SV=1,4785826
m.8984,345,1,6,6,1,1,3,-0.725,-1.3037,0,0.627453,0,RNA-binding protein 39 OS=Pongo abelii GN=RBM39 PE=2 SV=1,Q5RC80
m.899,700,1,1,0,0,0,0,0.245,0.2897,1,0.571104,0.613562,Choline transporter-like protein 4 OS=Xenopus laevis GN=slc44a4 PE=2 SV=1,Q6GN42
m.8991,306,13,21,9,17,21,11,0.414,2.0244,0,0,0.642724,3-hydroxypropionyl-coenzyme A dehydratase OS=Metallosphaera sedula (strain ATCC 51363 / DSM 5348) GN=Msed_2001 PE=1 SV=1,A4YI89
m.90,277,0,0,0,8,6,5,2.33,3.3907,0,0,0.606697,Heme-binding protein 2 OS=Homo sapiens GN=HEBP2 PE=1 SV=1,Q9Y5Z4
m.900,248,151,121,139,121,40,78,-0.235,-3.0321,0,0.600005,0,DNA damage checkpoint protein rad24 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=rad24 PE=1 SV=2,P42656
m.9006,624,0,3,0,0,1,1,-0.321,-0.4349,0.039978,0.683291,0.00261,Glutamate carboxypeptidase 2 OS=Homo sapiens GN=FOLH1 PE=1 SV=1,Q04609
m.9013,389,34,33,56,35,18,17,-0.258,-1.7436,0,0.615855,0,Prosaposin OS=Bos taurus GN=PSAP PE=1 SV=3,P26779
m.9015,170,24,16,27,26,15,30,0.359,2.1188,0,0,0.638827,Universal stress protein A-like protein OS=Arabidopsis thaliana GN=At3g01520 PE=1 SV=2,Q8LGG8
m.9020,295,0,0,1,2,2,0,0.833,1.1199,0.009901,0.000516,0.706599,Down syndrome critical region protein 3 homolog OS=Mus musculus GN=Dscr3 PE=2 SV=1,O35075
m.9021,106,1,1,2,4,4,1,1.168,1.8965,0,0,0.648384,U6 snRNA-associated Sm-like protein LSm3 OS=Mus musculus GN=Lsm3 PE=3 SV=2,P62311
m.9022,1133,91,95,82,99,94,87,0.351,3.9224,0,0,0.602208,Contactin-associated protein-like 2 OS=Mus musculus GN=Cntnap2 PE=1 SV=2,Q9CPW0
m.9023,1893,0,1,0,0,0,0,0.195,0.2226,1,0.619853,0.54717,Multiple PDZ domain protein OS=Homo sapiens GN=MPDZ PE=1 SV=2,O75970
m.9026,230,3,0,3,7,1,9,1.209,2.6478,0,0,0.62081,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus GN=Svep1 PE=1 SV=1",P0C6B8
m.9029,177,0,1,0,0,0,0,0.302,0.3209,0.999883,0.543338,0.638677,"Trans-2-enoyl-CoA reductase, mitochondrial OS=Danio rerio GN=mecr PE=2 SV=2",Q6GQN8
m.9034,345,1,3,0,0,2,0,0.034,0.0476,0.991849,0.691039,0.305015,Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Drosophila melanogaster GN=Anp32a PE=2 SV=1,Q9V895
m.904,870,10,15,5,7,7,0,-0.391,-1.2288,0,0.630208,0,Piwi-like protein 1 OS=Danio rerio GN=piwil1 PE=1 SV=1,Q8UVX0
m.9045,703,4,0,0,1,0,0,-0.516,-0.7405,0.000279,0.656417,0.000013,Dystroglycan OS=Mus musculus GN=Dag1 PE=1 SV=4,Q62165
m.9051,213,5,22,6,5,4,2,-0.792,-2.297,0,0.607984,0,40S ribosomal protein S9 OS=Rattus norvegicus GN=Rps9 PE=1 SV=4,P29314
m.9052,1364,16,10,14,4,11,1,-0.609,-2.1033,0,0.610607,0,Equistatin OS=Actinia equina PE=1 SV=1,P81439
m.9058,352,38,25,29,40,22,12,0.074,0.4621,1,0.377736,0.714857,Endophilin-B1 OS=Gallus gallus GN=SH3GLB1 PE=2 SV=1,Q5ZIR1
m.906,154,0,1,0,1,1,0,0.246,0.2984,0.999799,0.563698,0.620918,Tenascin C (Fragment) OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01083 PE=4 SV=1,4191200
m.9062,253,2,6,0,0,3,0,-0.337,-0.5672,0.005806,0.670492,0.000327,Tolloid-like protein 2 OS=Xenopus laevis GN=tll2 PE=2 SV=1,O57382
m.9072,179,30,16,20,18,7,28,0.086,0.4687,1,0.368744,0.717199,m.9072,
m.9073,508,24,31,26,29,22,27,0.276,1.7971,0,0,0.653255,"Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens GN=DLD PE=1 SV=2",P09622
m.9076,169,0,0,0,0,0,0,0.247,0.2901,1,0.570769,0.613906,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial OS=Mus musculus GN=Iscu PE=1 SV=1",Q9D7P6
m.9077,144,2,0,0,1,0,0,-0.056,-0.0732,0.823254,0.707181,0.14403,Protein NPC2 homolog OS=Drosophila melanogaster GN=Npc2a PE=1 SV=1,Q9VQ62
m.9078,300,1,1,0,1,2,0,0.572,0.6747,0.792922,0.112989,0.752527,Dystrobrevin alpha OS=Homo sapiens GN=DTNA PE=1 SV=2,Q9Y4J8
m.9080,469,0,0,0,0,0,0,0.126,0.156,1,0.655126,0.464364,Uncharacterized protein OS=Amphimedon queenslandica GN=LOC100635635 PE=4 SV=1,4617463
m.9084,216,0,2,0,0,0,0,-0.128,-0.1566,0.587847,0.707496,0.071592,m.9084,
m.9086,773,36,25,22,41,4,14,-0.033,-0.1937,0.470857,0.705739,0.050121,Protein-glutamine gamma-glutamyltransferase K OS=Rattus norvegicus GN=Tgm1 PE=2 SV=1,P23606
m.9089,726,11,0,16,7,9,7,0.134,0.5077,1,0.314704,0.729331,EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Mus musculus GN=Edil3 PE=1 SV=2,O35474
m.9097,494,6,3,0,9,0,0,0.401,0.9201,0.135165,0.009117,0.732731,FERM domain-containing protein 5 OS=Mus musculus GN=Frmd5 PE=2 SV=1,Q6P5H6
m.9103,276,0,0,0,0,0,0,0.275,0.3119,0.999836,0.551693,0.631789,Golgi-associated plant pathogenesis-related protein 1 OS=Mus musculus GN=Glipr2 PE=2 SV=3,Q9CYL5
m.9104,238,12,18,5,9,7,2,-0.387,-1.459,0,0.622438,0,Predicted protein OS=Nematostella vectensis GN=v1g239175 PE=4 SV=1,3268279
m.9109,151,7,9,4,27,17,2,1.156,4.0025,0,0,0.601604,m.9109,
m.911,192,6,2,3,0,2,1,-0.748,-1.2046,0,0.63115,0,Dynactin subunit 3 OS=Mus musculus GN=Dctn3 PE=2 SV=2,Q9Z0Y1
m.9110,140,9,19,10,21,8,7,0.263,1.1638,0.005046,0.000249,0.70141,Ubiquitin-conjugating enzyme E2 variant 2 OS=Mus musculus GN=Ube2v2 PE=2 SV=4,Q9D2M8
m.9113,661,1,1,0,0,2,0,0.616,0.7263,0.644286,0.073288,0.751944,APOBEC1 complementation factor OS=Pongo abelii GN=A1CF PE=2 SV=1,Q5R9H4
m.9119,158,14,4,1,13,26,13,1.336,4.8268,0,0,0.596215,Glutathione S-transferase OS=Blattella germanica PE=1 SV=3,O18598
m.912,124,2,1,3,1,0,0,-0.458,-0.5953,0.003692,0.667995,0.000202,Thymocyte nuclear protein 1 OS=Danio rerio GN=thyn1 PE=2 SV=1,Q6PFL8
m.9122,382,3,5,5,3,2,1,-0.554,-1.1023,0,0.635461,0,Di-N-acetylchitobiase OS=Rattus norvegicus GN=Ctbs PE=1 SV=1,Q01460
m.9133,155,12,29,50,48,13,32,0.328,2.177,0,0,0.63651,Uncharacterized protein OS=Helobdella robusta GN=HELRODRAFT_193192 PE=4 SV=1,5494725
m.9135,505,34,21,11,17,21,16,0.102,0.5404,0.990079,0.269387,0.737427,Selenium-binding protein 1 OS=Rattus norvegicus GN=Selenbp1 PE=1 SV=1,Q8VIF7
m.9137,549,17,18,28,32,14,18,0.316,1.7096,0,0,0.657983,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus GN=Svep1 PE=1 SV=1",P0C6B8
m.9140,101,1,7,5,5,0,6,0.196,0.4933,1,0.334773,0.725176,m.9140,
m.9141,173,0,0,0,0,0,0,0.292,0.3229,0.999813,0.541442,0.64017,Histone deacetylase complex subunit SAP18 OS=Bos taurus GN=SAP18 PE=2 SV=1,Q3T022
m.9144,101,15,18,18,12,14,16,0.123,0.6186,0.910124,0.170031,0.749474,m.9144,
m.915,457,0,0,0,0,0,0,0.273,0.3083,0.999768,0.554956,0.628953,Cubilin OS=Rattus norvegicus GN=Cubn PE=1 SV=2,O70244
m.9150,250,1,1,1,7,0,7,2.016,3.1545,0,0,0.609825,m.9150,
m.9151,279,11,8,4,12,8,9,0.528,1.8726,0,0,0.649511,Dehydrogenase/reductase SDR family member 4 (Fragment) OS=Oryctolagus cuniculus GN=DHRS4 PE=1 SV=1,Q9GKX2
m.9152,194,0,0,0,2,3,1,1.017,1.3625,0.000155,0.000006,0.68172,Williams-Beuren syndrome chromosomal region 27 protein OS=Homo sapiens GN=WBSCR27 PE=2 SV=2,Q8N6F8
m.9155,254,2,1,0,0,1,2,0.301,0.4011,1,0.456566,0.688593,Glycerate kinase OS=Macaca fascicularis GN=GLYCTK PE=2 SV=1,Q9BE01
m.9167,564,14,10,16,21,24,26,0.877,4.5632,0,0,0.597682,mRNA cap guanine-N7 methyltransferase OS=Macaca fascicularis GN=RNMT PE=2 SV=1,Q4R7K1
m.9170,543,0,0,3,1,2,0,-0.008,-0.0109,0.937172,0.70162,0.220527,Nucleolar protein 56 OS=Homo sapiens GN=NOP56 PE=1 SV=4,O00567
m.9176,257,1,19,8,6,8,1,-0.339,-1.0446,0,0.638164,0,Transcriptional activator protein Pur-alpha OS=Homo sapiens GN=PURA PE=1 SV=2,Q00577
m.9177,268,3,0,0,0,1,0,-0.365,-0.4587,0.028979,0.68088,0.00184,Bone morphogenetic protein 1 OS=Homo sapiens GN=BMP1 PE=1 SV=2,P13497
m.9178,193,2,0,0,2,1,1,0.281,0.367,1,0.496104,0.669753,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.918,345,62,51,41,48,33,66,0.253,2.2464,0,0,0.633834,UDP-glucose 4-epimerase OS=Pongo abelii GN=GALE PE=2 SV=1,Q5R8D0
m.9181,139,16,11,9,8,7,0,-0.517,-1.6503,0,0.617635,0,m.9181,
m.9188,352,2,3,1,4,6,0,0.924,1.8408,0,0,0.651053,MAP kinase-activated protein kinase 2 OS=Mus musculus GN=Mapkapk2 PE=1 SV=2,P49138
m.9193,136,0,0,0,0,0,0,0.229,0.2805,1,0.578656,0.605478,CDGSH iron-sulfur domain-containing protein 2 homolog A OS=Branchiostoma floridae GN=BRAFLDRAFT_285975 PE=3 SV=1,C3ZWH9
m.9195,251,0,0,0,1,0,3,0.817,1.0674,0.021222,0.001178,0.713161,Uncharacterized protein OS=Acinetobacter rudis CIP 110305 GN=F945_02101 PE=4 SV=1,33019803
m.9199,682,0,0,1,0,0,0,0.367,0.4282,1,0.422654,0.701348,Synaptotagmin-like protein 4 OS=Rattus norvegicus GN=Sytl4 PE=1 SV=1,Q8VHQ7
m.9200,158,1,0,0,3,1,1,0.809,1.0074,0.047663,0.002843,0.721033,Pyroglutamyl-peptidase 1 OS=Mus musculus GN=Pgpep1 PE=2 SV=1,Q9ESW8
m.9206,260,0,0,2,0,1,0,-0.019,-0.0239,0.918396,0.70323,0.203167,m.9206,
m.9221,125,0,0,0,0,0,0,0.253,0.2948,1,0.566794,0.617909,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 OS=Gorilla gorilla gorilla GN=NDUFB9 PE=2 SV=3,Q0MQE9
m.9222,392,1,0,1,0,0,0,0.198,0.2075,1,0.628909,0.529828,Rho GTPase-activating protein 42 OS=Homo sapiens GN=ARHGAP42 PE=1 SV=3,A6NI28
m.9224,322,1,5,1,3,6,0,0.681,1.4202,0.000049,0.000002,0.677055,Ubiquitin-like-conjugating enzyme ATG3 OS=Xenopus tropicalis GN=atg3 PE=2 SV=1,Q5I0S6
m.9225,304,1,2,0,1,0,0,-0.02,-0.0253,0.916236,0.703388,0.201338,N-acetylneuraminate lyase OS=Pongo abelii GN=NPL PE=2 SV=1,Q5RDY1
m.9226,462,48,53,45,44,47,32,0.13,1.1052,0.012317,0.000653,0.7084,"Trifunctional enzyme subunit beta, mitochondrial OS=Bos taurus GN=HADHB PE=2 SV=1",O46629
m.923,391,22,15,5,9,14,2,-0.221,-0.8793,0.000016,0.647194,0.000001,Band 4.1-like protein 3 OS=Mus musculus GN=Epb41l3 PE=1 SV=1,Q9WV92
m.9233,269,0,0,0,0,0,0,0.254,0.2779,1,0.580739,0.603136,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,4396321
m.9236,584,0,0,0,0,0,0,0.341,0.4053,1,0.451445,0.690693,Neogenin (Fragment) OS=Gallus gallus PE=2 SV=1,Q90610
m.9238,137,0,0,0,0,0,0,0.172,0.1892,1,0.639022,0.507651,m.9238,
m.924,786,20,19,21,13,23,2,-0.152,-0.7321,0.000328,0.657029,0.000016,Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1,B0FYY4
m.9242,256,13,9,6,28,10,20,1.028,4.3801,0,0,0.598811,m.9242,
m.9244,463,0,0,0,0,0,0,0.206,0.2311,1,0.614462,0.556544,Transmembrane protein 214-B OS=Xenopus laevis GN=tmem214-b PE=2 SV=1,A1L2I9
m.925,826,89,96,82,100,108,73,0.354,4.1491,0,0,0.600486,Transitional endoplasmic reticulum ATPase OS=Xenopus laevis GN=vcp PE=1 SV=3,P23787
m.9252,695,0,0,2,1,0,0,-0.052,-0.0627,0.846874,0.706608,0.155659,"Dynein intermediate chain 2, ciliary OS=Heliocidaris crassispina PE=2 SV=1",Q16959
m.9253,509,3,2,3,9,1,3,0.779,1.5946,0.000001,0,0.664876,Y+L amino acid transporter 2 OS=Homo sapiens GN=SLC7A6 PE=1 SV=3,Q92536
m.9267,132,0,0,0,0,0,0,0.352,0.4073,1,0.448988,0.691676,Programmed cell death protein 5 OS=Mus musculus GN=Pdcd5 PE=1 SV=3,P56812
m.9271,192,0,0,0,0,0,0,0.161,0.1912,1,0.637962,0.510136,Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog OS=Rattus norvegicus GN=Litaf PE=2 SV=1,P0C0T0
m.9274,131,0,0,0,1,1,0,0.318,0.3563,1,0.507721,0.663143,Mitochondrial import inner membrane translocase subunit tim16-B OS=Xenopus laevis GN=pam16-b PE=2 SV=1,Q5M995
m.9276,235,0,0,1,0,0,0,0.174,0.2091,1,0.627981,0.531707,m.9276,
m.9279,376,8,6,1,0,5,4,-0.101,-0.251,0.305295,0.701542,0.02741,Carbonic anhydrase 2 OS=Mus musculus GN=Ca2 PE=1 SV=4,P00920
m.9284,447,19,21,21,37,18,15,0.452,2.622,0,0,0.621527,Protein kinase C-binding protein NELL2 OS=Xenopus tropicalis GN=nell2 PE=2 SV=1,A2VCU8
m.9290,1260,1,0,0,1,1,0,0.246,0.2841,1,0.575736,0.608679,m.9290,
m.9295,226,13,11,5,8,5,7,-0.103,-0.3582,0.103677,0.691196,0.007506,Nicotinamide mononucleotide adenylyltransferase 1 OS=Homo sapiens GN=NMNAT1 PE=1 SV=1,Q9HAN9
m.9299,205,46,41,15,34,33,12,0.055,0.3608,1,0.502883,0.665966,Ras-related protein Rab-7a OS=Canis familiaris GN=RAB7A PE=2 SV=1,P18067
m.930,399,0,0,0,0,0,0,0.312,0.3549,1,0.509212,0.662252,m.930,
m.9302,366,0,0,0,0,3,2,1.061,1.3966,0.000079,0.000003,0.678916,Rab9 effector protein with kelch motifs OS=Homo sapiens GN=RABEPK PE=1 SV=1,Q7Z6M1
m.9307,494,0,0,0,0,0,0,0.355,0.3803,1,0.481127,0.677494,Protein FAM135B OS=Mus musculus GN=Fam135b PE=2 SV=3,Q9DAI6
m.931,242,0,0,0,0,0,0,0.291,0.3075,0.999719,0.555675,0.628317,Cytochrome b561 OS=Pongo abelii GN=CYB561 PE=2 SV=1,Q5RCZ2
