Protein,Len,NN,NN,NN,NO,NO,NO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE
m.6410,391,0,3,3,5,0,3,0.158,0.3149,1,1,0.875037,Protein phosphatase 1J OS=Homo sapiens GN=PPM1J PE=1 SV=1
m.6414,454,9,10,11,11,12,9,-0.014,-0.0525,0.479519,1,0.903444,Caprin-1 OS=Mus musculus GN=Caprin1 PE=1 SV=2
m.643,188,1,1,0,1,1,5,0.826,1.0841,1,0.773609,0.996095,Short-chain collagen C4 (Fragment) OS=Ephydatia muelleri PE=2 SV=1
m.6434,345,0,0,0,32,0,0,2.445,4.0367,0.000013,0.000002,0.986471,Fibropellin-1 OS=Strongylocentrotus purpuratus GN=EGF1 PE=1 SV=2
m.6438,185,0,0,0,0,1,0,-0.062,-0.0704,0.46658,1,0.919294,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_120670 PE=4 SV=1
m.644,181,53,28,13,16,20,12,-0.748,-4.1753,0.000059,0.987208,0.000005,ADP-ribosylation factor 1 OS=Rattus norvegicus GN=Arf1 PE=1 SV=2
m.6447,230,1,0,2,1,0,0,-0.465,-0.5716,1,0.867834,1,m.6447
m.6458,848,1,0,0,0,0,0,-0.012,-0.0134,0.52068,1,0.877954,Receptor-type tyrosine-protein phosphatase N2 OS=Macaca nemestrina GN=PTPRN2 PE=2 SV=1
m.6463,6996,16,21,20,23,23,23,0.111,0.6178,1,1,0.946194,Titin OS=Mus musculus GN=Ttn PE=1 SV=1
m.6487,850,0,0,0,3,1,0,0.485,0.6169,1,1,0.945755,Major vault protein OS=Strongylocentrotus purpuratus GN=MVP PE=1 SV=1
m.6490,438,2,0,3,5,0,7,0.677,1.3442,1,0.503862,1,Predicted protein OS=Nematostella vectensis GN=v1g240575 PE=4 SV=1
m.6492,285,1,1,1,2,1,1,0.253,0.3048,1,1,0.872616,Predicted protein OS=Nematostella vectensis GN=v1g247680 PE=4 SV=1
m.6495,278,3,4,1,4,3,4,0.196,0.4149,1,1,0.900885,Zinc finger CCCH domain-containing protein 10 OS=Mus musculus GN=Zc3h10 PE=2 SV=1
m.6498,107,0,0,0,1,0,0,-0.094,-0.1104,0.449851,1,0.957463,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g196670 PE=4 SV=1
m.6499,297,28,25,18,34,34,40,0.364,2.3995,0.077649,0.017013,0.996825,Heterogeneous nuclear ribonucleoprotein A1-like 2 OS=Homo sapiens GN=HNRNPA1L2 PE=2 SV=2
m.650,554,2,6,0,7,3,2,0.247,0.5486,1,1,0.932098,"Acyl-coenzyme A oxidase 2, peroxisomal OS=Arabidopsis thaliana GN=ACX2 PE=1 SV=2"
m.6505,217,1,2,0,0,2,0,-0.098,-0.1304,0.447501,0.987485,0.982767,Nuclear autoantigenic sperm protein OS=Homo sapiens GN=NASP PE=1 SV=2
m.651,113,17,14,24,20,16,27,0.065,0.3556,1,1,0.885514,V-type proton ATPase subunit G OS=Manduca sexta PE=3 SV=1
m.6511,281,36,53,37,38,34,40,-0.19,-1.4327,1,1,0.64854,Microtubule-associated protein RP/EB family member 3 OS=Rattus norvegicus GN=Mapre3 PE=1 SV=1
m.6516,603,2,3,0,1,3,0,-0.275,-0.4225,0.968469,0.838062,1,Seprase OS=Mus musculus GN=Fap PE=2 SV=1
m.6517,538,22,74,41,50,70,39,0.074,0.6251,1,1,0.947497,"Serine--tRNA ligase, cytoplasmic OS=Bos taurus GN=SARS PE=2 SV=3"
m.6520,164,0,1,0,0,0,0,-0.069,-0.0777,0.462299,1,0.925787,Peptidyl-prolyl cis-trans isomerase-like 3 OS=Rattus norvegicus GN=Ppil3 PE=2 SV=1
m.6522,302,22,58,46,43,42,61,0.071,0.605,1,1,0.94353,Thrombospondin-1 OS=Mus musculus GN=Thbs1 PE=1 SV=1
m.6524,587,107,109,94,128,112,93,-0.002,-0.026,0.50538,1,0.885057,"60 kDa heat shock protein, mitochondrial OS=Cricetulus griseus GN=HSPD1 PE=2 SV=1"
m.6527,1044,0,1,0,0,0,0,-0.161,-0.1909,0.464392,0.91952,1,Laminin subunit alpha-2 OS=Mus musculus GN=Lama2 PE=1 SV=2
m.6534,473,0,3,3,4,3,2,0.193,0.362,1,1,0.887374,Tat-linked quality control protein TatD OS=Edwardsiella tarda (strain EIB202) GN=tatD PE=3 SV=1
m.6554,533,19,43,37,44,47,39,0.194,1.4847,1,0.372341,1,Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1
m.6562,225,0,0,2,3,0,0,0.088,0.131,0.872211,1,0.842779,Vesicle-associated membrane protein 7 OS=Gallus gallus GN=VAMP7 PE=2 SV=1
symbB1.EST_k37c20_2788|m.6569,159,0,0,0,1,1,0,-0.127,-0.1483,0.448706,0.96615,1,symbB1.EST_k37c20_2788 g.6569  ORF symbB1.EST_k37c20_2788 g.6569 symbB1.EST_k37c20_2788 m.6569 type:5prime_partial len:159 (+) symbB1.EST_k37c20_2788:2-478(+)
m.657,677,42,35,50,46,36,47,-0.062,-0.4655,1,0.843601,1,Beta-galactosidase OS=Bos taurus GN=GLB1 PE=2 SV=1
m.6574,602,0,1,4,3,2,1,-0.107,-0.1731,0.455611,0.936251,1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Mus musculus GN=Rpn1 PE=2 SV=1
m.6593,1058,21,26,20,23,33,12,-0.057,-0.324,0.650996,0.843311,1,Sodium/potassium-transporting ATPase subunit alpha OS=Drosophila melanogaster GN=Atpalpha PE=1 SV=3
m.6599,345,0,3,0,0,1,0,-0.727,-0.8863,1,0.946118,1,m.6599
m.6603,632,4,2,6,7,3,6,0.215,0.6113,1,1,0.944872,Protein disulfide-isomerase A5 OS=Mus musculus GN=Pdia5 PE=2 SV=1
m.6614,1203,6,7,1,8,6,2,0.082,0.2227,1,1,0.853556,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2
m.6619,242,0,1,0,2,0,0,0.212,0.2598,1,1,0.861644,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus GN=Svep1 PE=1 SV=1"
m.6620,708,36,16,27,17,12,21,-0.546,-2.9584,0.030627,0.99304,0.006363,Titin OS=Homo sapiens GN=TTN PE=1 SV=4
m.6627,1941,452,618,1142,781,721,787,-0.039,-1.4299,1,1,0.650982,"Myosin heavy chain, striated muscle OS=Argopecten irradians PE=1 SV=1"
symbB1.EST_k37c20_31197|m.66423,243,4,3,3,2,2,3,-0.458,-0.9083,1,0.950291,1,symbB1.EST_k37c20_31197 g.66423  ORF symbB1.EST_k37c20_31197 g.66423 symbB1.EST_k37c20_31197 m.66423 type:5prime_partial len:243 (+) symbB1.EST_k37c20_31197:1-729(+)
symbB1.EST_k37c20_2817|m.6645,354,13,19,11,15,16,18,0.048,0.2385,1,1,0.856922,symbB1.EST_k37c20_2817 g.6645  ORF symbB1.EST_k37c20_2817 g.6645 symbB1.EST_k37c20_2817 m.6645 type:internal len:355 (+) symbB1.EST_k37c20_2817:1-1062(+)
m.6650,137,4,7,3,1,5,0,-0.808,-1.7268,1,1,0.370813,Ecdysteroid-regulated 16 kDa protein OS=Manduca sexta GN=ESR16 PE=2 SV=1
m.6654,227,5,7,2,6,6,9,0.324,0.9452,1,0.923838,0.987826,Proteasome subunit alpha type-1 OS=Gallus gallus GN=PSMA1 PE=2 SV=2
m.6658,229,1,1,0,0,0,0,-0.121,-0.1362,0.447547,0.981208,0.988759,Ras-related protein Rab-7L1 OS=Rattus norvegicus GN=Rab7l1 PE=1 SV=1
symbB1.EST_k37c20_2825|m.6658,896,0,0,0,0,0,1,-0.066,-0.0771,0.462627,1,0.923585,symbB1.EST_k37c20_2825 g.6658  ORF symbB1.EST_k37c20_2825 g.6658 symbB1.EST_k37c20_2825 m.6658 type:5prime_partial len:896 (-) symbB1.EST_k37c20_2825:6-2693(-)
m.6659,223,0,2,0,0,6,0,0.636,1.044,1,0.817209,0.994105,Lactadherin OS=Rattus norvegicus GN=Mfge8 PE=2 SV=1
m.6678,2678,13,11,3,11,13,1,-0.159,-0.5978,1,0.87482,1,Neural-cadherin OS=Drosophila melanogaster GN=CadN PE=1 SV=2
symbB1.EST_k37c20_2835|m.6680,165,3,0,1,0,0,1,-0.66,-0.851,1,0.938783,1,symbB1.EST_k37c20_2835 g.6680  ORF symbB1.EST_k37c20_2835 g.6680 symbB1.EST_k37c20_2835 m.6680 type:complete len:165 (-) symbB1.EST_k37c20_2835:705-1199(-)
m.6688,381,1,11,10,4,4,5,-0.635,-1.8481,0.859027,1,0.279029,V-type proton ATPase subunit C OS=Manduca sexta PE=2 SV=1
m.6697,131,0,1,0,0,0,0,-0.087,-0.0999,0.452676,1,0.947102,DNA-directed RNA polymerase II subunit RPB4 OS=Mus musculus GN=Polr2d PE=2 SV=2
m.6698,487,235,243,163,137,190,145,-0.382,-6.2222,0,0.984221,0,Cytosolic non-specific dipeptidase OS=Mus musculus GN=Cndp2 PE=1 SV=1
m.6700,483,0,1,0,1,1,0,-0.115,-0.1362,0.447547,0.981208,0.988759,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform OS=Rattus norvegicus GN=Ppp2r2a PE=2 SV=1
m.6705,727,13,46,20,61,54,21,0.469,3.3471,0.001236,0.000138,0.989226,"Methylmalonyl-CoA mutase, mitochondrial OS=Bos taurus GN=MUT PE=2 SV=1"
m.6713,259,0,4,0,1,0,0,-0.86,-1.1614,1,0.987361,0.941208,BTB/POZ domain-containing protein KCTD6 OS=Danio rerio GN=kctd6 PE=2 SV=1
m.6717,339,0,0,0,1,0,0,-0.155,-0.1789,0.458112,0.931287,1,Protein PRRC1 OS=Homo sapiens GN=PRRC1 PE=1 SV=1
symbB1.EST_k37c20_31635|m.67185,172,0,1,0,1,0,0,-0.138,-0.1652,0.452744,0.943966,1,symbB1.EST_k37c20_31635 g.67185  ORF symbB1.EST_k37c20_31635 g.67185 symbB1.EST_k37c20_31635 m.67185 type:complete len:172 (+) symbB1.EST_k37c20_31635:53-568(+)
m.6724,676,25,65,73,115,116,82,0.578,6.2629,0,0,0.984346,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2"
m.673,891,0,0,1,1,3,1,0.526,0.7082,1,1,0.961292,m.673
m.6735,993,0,0,1,0,0,3,0.415,0.5243,1,1,0.92697,Transcription elongation regulator 1 OS=Mus musculus GN=Tcerg1 PE=1 SV=2
m.6750,260,79,69,47,90,88,51,0.094,1.0009,1,0.863796,0.991623,Protein usf OS=Aquifex pyrophilus GN=usf PE=4 SV=1
m.6751,684,0,0,2,0,0,3,0.142,0.2008,1,1,0.849724,WD repeat-containing protein 16 OS=Homo sapiens GN=WDR16 PE=1 SV=3
m.6756,433,0,0,2,2,1,2,0.141,0.1948,1,1,0.848595,Transmembrane protease serine 9 OS=Rattus norvegicus GN=Tmprss9 PE=3 SV=1
m.6764,636,9,21,4,3,8,5,-0.834,-2.6536,0.094873,0.996963,0.022498,m.6764
symbB1.EST_k37c20_2873|m.6770,351,4,6,0,5,2,0,-0.436,-0.8962,1,0.947994,1,symbB1.EST_k37c20_2873 g.6770  ORF symbB1.EST_k37c20_2873 g.6770 symbB1.EST_k37c20_2873 m.6770 type:complete len:351 (+) symbB1.EST_k37c20_2873:87-1139(+)
m.6777,271,2,5,3,5,3,2,-0.069,-0.142,0.447928,0.972065,0.997994,Sorting nexin-5 OS=Rattus norvegicus GN=Snx5 PE=1 SV=1
m.6781,483,0,0,1,1,0,0,-0.14,-0.1607,0.451395,0.949292,1,"Carnitine O-palmitoyltransferase 1, liver isoform OS=Mus musculus GN=Cpt1a PE=1 SV=4"
m.6795,338,0,0,0,6,1,1,1.016,1.3308,1,0.517905,1,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Rattus norvegicus GN=Mthfd1 PE=1 SV=3"
m.681,2015,172,257,265,228,240,222,-0.081,-1.4733,1,1,0.607438,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4
symbB1.EST_k37c20_319|m.681,429,1,4,4,6,2,4,0.179,0.4047,1,1,0.898459,symbB1.EST_k37c20_319 g.681  ORF symbB1.EST_k37c20_319 g.681 symbB1.EST_k37c20_319 m.681 type:complete len:429 (+) symbB1.EST_k37c20_319:58-1344(+)
m.6816,173,14,21,27,17,11,21,-0.322,-1.6006,1,1,0.482413,Alcohol dehydrogenase [NADP(+)] A OS=Danio rerio GN=akr1a1a PE=2 SV=2
m.6817,148,0,5,7,2,2,3,-0.747,-1.5585,1,1,0.523057,Alcohol dehydrogenase [NADP(+)] OS=Sus scrofa GN=AKR1A1 PE=1 SV=2
m.6822,465,0,2,1,1,3,1,0.05,0.073,0.687537,1,0.846749,Argininosuccinate lyase OS=Lithobates catesbeiana GN=ASL PE=3 SV=1
m.6835,423,7,12,1,13,13,4,0.35,1.1702,1,0.680283,0.999402,"Stomatin-like protein 2, mitochondrial OS=Homo sapiens GN=STOML2 PE=1 SV=1"
symbB1.EST_k37c20_2897|m.6839,101,0,0,1,0,0,0,-0.121,-0.1424,0.447967,0.972065,0.997994,symbB1.EST_k37c20_2897 g.6839  ORF symbB1.EST_k37c20_2897 g.6839 symbB1.EST_k37c20_2897 m.6839 type:complete len:101 (-) symbB1.EST_k37c20_2897:24-326(-)
m.6841,251,0,0,1,0,1,0,-0.109,-0.1245,0.447783,0.997172,0.974028,m.6841
m.6844,389,7,14,12,10,13,4,-0.268,-1.0036,1,0.966806,1,"Saccharopine dehydrogenase [NAD(+), L-lysine-forming] OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=lys3 PE=1 SV=2"
symbB1.EST_k37c20_2900|m.6850,320,13,14,12,13,9,10,-0.279,-1.174,1,0.988559,0.927913,symbB1.EST_k37c20_2900 g.6850  ORF symbB1.EST_k37c20_2900 g.6850 symbB1.EST_k37c20_2900 m.6850 type:complete len:320 (-) symbB1.EST_k37c20_2900:437-1396(-)
symbB1.EST_k37c20_32400|m.68510,739,0,1,0,0,0,0,-0.079,-0.0836,0.459248,1,0.930283,symbB1.EST_k37c20_32400 g.68510  ORF symbB1.EST_k37c20_32400 g.68510 symbB1.EST_k37c20_32400 m.68510 type:5prime_partial len:739 (+) symbB1.EST_k37c20_32400:3-2219(+)
m.6854,281,2,0,2,2,1,1,-0.356,-0.5013,1,0.850475,1,Poly(U)-specific endoribonuclease-A OS=Xenopus laevis GN=endou-a PE=1 SV=1
m.6865,1038,0,0,0,1,0,0,-0.062,-0.071,0.46621,1,0.919292,m.6865
m.6868,946,12,22,30,52,39,9,0.377,2.4195,0.071052,0.015616,0.996521,AP-2 complex subunit alpha-2 OS=Rattus norvegicus GN=Ap2a2 PE=1 SV=3
symbB1.EST_k37c20_32552|m.68767,1170,0,3,0,3,0,0,-0.133,-0.1977,0.468624,0.912893,1,symbB1.EST_k37c20_32552 g.68767  ORF symbB1.EST_k37c20_32552 g.68767 symbB1.EST_k37c20_32552 m.68767 type:5prime_partial len:1170 (-) symbB1.EST_k37c20_32552:115-3624(-)
m.6883,567,49,67,63,52,52,58,-0.182,-1.7104,1,1,0.384722,Dihydropyrimidinase OS=Rattus norvegicus GN=Dpys PE=1 SV=2
symbB1.EST_k37c20_2911|m.6886,357,0,0,0,2,0,0,0.224,0.2737,1,1,0.864989,symbB1.EST_k37c20_2911 g.6886  ORF symbB1.EST_k37c20_2911 g.6886 symbB1.EST_k37c20_2911 m.6886 type:5prime_partial len:357 (+) symbB1.EST_k37c20_2911:1-1071(+)
symbB1.EST_k37c20_32715|m.69044,682,1,0,1,0,0,0,-0.185,-0.2185,0.484684,0.894914,1,symbB1.EST_k37c20_32715 g.69044  ORF symbB1.EST_k37c20_32715 g.69044 symbB1.EST_k37c20_32715 m.69044 type:5prime_partial len:682 (+) symbB1.EST_k37c20_32715:2-2047(+)
m.6915,184,0,0,0,3,0,0,0.385,0.4749,1,1,0.915533,Fibrinogen C domain-containing protein 1-A OS=Xenopus laevis GN=fibcd1-a PE=2 SV=1
symbB1.EST_k37c20_2935|m.6930,230,0,0,2,0,0,5,0.533,0.8268,1,1,0.976773,symbB1.EST_k37c20_2935 g.6930  ORF symbB1.EST_k37c20_2935 g.6930 symbB1.EST_k37c20_2935 m.6930 type:complete len:230 (-) symbB1.EST_k37c20_2935:545-1234(-)
symbB1.EST_k37c20_2935|m.6931,199,5,6,11,5,5,5,-0.502,-1.4549,1,1,0.624278,symbB1.EST_k37c20_2935 g.6931  ORF symbB1.EST_k37c20_2935 g.6931 symbB1.EST_k37c20_2935 m.6931 type:complete len:199 (-) symbB1.EST_k37c20_2935:16-612(-)
symbB1.EST_k37c20_2935|m.6933,102,0,0,6,2,0,1,-0.845,-1.3042,1,0.999017,0.783881,symbB1.EST_k37c20_2935 g.6933  ORF symbB1.EST_k37c20_2935 g.6933 symbB1.EST_k37c20_2935 m.6933 type:5prime_partial len:102 (-) symbB1.EST_k37c20_2935:1336-1641(-)
m.694,857,1,4,14,4,2,11,-0.187,-0.5773,1,0.86909,1,Zinc finger RNA-binding protein OS=Xenopus tropicalis GN=zfr PE=2 SV=1
m.6949,182,0,1,1,3,1,2,0.684,0.9415,1,0.929086,0.98746,"Methylmalonyl-CoA epimerase, mitochondrial OS=Mus musculus GN=Mcee PE=1 SV=1"
m.6956,142,0,1,0,0,0,1,-0.124,-0.1467,0.448476,0.966152,1,Probable thiopurine S-methyltransferase OS=Danio rerio GN=tpmt PE=2 SV=1
symbB1.EST_k37c20_2950|m.6958,569,0,0,0,0,1,0,-0.127,-0.1461,0.448389,0.966152,1,symbB1.EST_k37c20_2950 g.6958  ORF symbB1.EST_k37c20_2950 g.6958 symbB1.EST_k37c20_2950 m.6958 type:5prime_partial len:569 (+) symbB1.EST_k37c20_2950:1-1707(+)
m.6968,331,0,1,1,0,0,0,-0.132,-0.1472,0.448548,0.966151,1,Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens GN=RPA1 PE=1 SV=2
m.6971,109,0,0,1,1,0,0,-0.174,-0.2082,0.476133,0.902559,1,Four and a half LIM domains protein 2 OS=Rattus norvegicus GN=Fhl2 PE=1 SV=1
m.6975,388,4,7,10,6,3,8,-0.329,-1.0106,1,0.967913,1,Nuclear pore complex protein Nup50 OS=Mus musculus GN=Nup50 PE=1 SV=3
m.6977,342,4,6,5,9,5,5,0.201,0.552,1,1,0.933099,Erlin-2-B OS=Xenopus laevis GN=erlin2-b PE=2 SV=1
m.698,256,4,9,3,2,3,4,-0.643,-1.5053,1,1,0.574179,SAP domain-containing ribonucleoprotein OS=Mus musculus GN=Sarnp PE=2 SV=3
m.6987,527,0,2,2,1,0,2,-0.296,-0.4319,1,0.838981,1,Dystrobrevin beta OS=Homo sapiens GN=DTNB PE=1 SV=1
m.6989,140,0,3,0,0,0,0,-0.737,-0.9353,1,0.955162,1,m.6989
m.6990,479,12,20,19,16,24,13,-0.018,-0.0899,0.456387,1,0.937288,T-complex protein 1 subunit epsilon OS=Macaca fascicularis GN=CCT5 PE=2 SV=1
m.6999,171,1,0,2,3,0,3,0.463,0.7153,1,1,0.962357,Centrin-1 OS=Bos taurus GN=CETN1 PE=2 SV=1
m.7005,1086,19,64,104,94,80,45,0.086,0.914,1,0.957964,0.98534,Collagen alpha-5(VI) chain OS=Homo sapiens GN=COL6A5 PE=1 SV=1
m.7049,338,0,1,0,1,2,0,0.285,0.3474,1,1,0.883653,m.7049
m.7051,436,0,6,31,0,4,73,0.651,3.2192,0.00285,0.000298,0.989788,Neural cell adhesion molecule 1 OS=Mus musculus GN=Ncam1 PE=1 SV=3
m.707,329,1,1,4,3,1,2,-0.079,-0.1359,0.447538,0.981208,0.988759,Translocon-associated protein subunit alpha OS=Homo sapiens GN=SSR1 PE=1 SV=3
m.7079,356,0,1,0,1,1,0,-0.172,-0.2118,0.478986,0.900592,1,Follistatin-related protein 1 OS=Mus musculus GN=Fstl1 PE=1 SV=2
m.7089,188,0,0,2,1,1,0,-0.382,-0.4431,1,0.840397,1,Membrane-associated progesterone receptor component 2 OS=Rattus norvegicus GN=Pgrmc2 PE=2 SV=1
m.7103,496,3,5,17,6,2,6,-0.703,-2.0479,0.521421,1,0.165959,Thimet oligopeptidase OS=Sus scrofa GN=THOP1 PE=2 SV=2
m.7107,168,0,3,1,3,6,0,0.674,1.182,1,0.667854,0.999755,m.7107
m.711,289,0,0,0,1,0,0,-0.08,-0.0929,0.455168,1,0.939689,Chymotrypsin-like protease CTRL-1 OS=Homo sapiens GN=CTRL PE=2 SV=1
m.7111,267,2,4,3,4,0,0,-0.523,-0.9483,1,0.957712,1,"Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Danio rerio GN=pgam5 PE=2 SV=2"
m.7115,1367,7,14,14,11,17,13,0.072,0.3106,1,1,0.873823,Leucine-rich repeat-containing protein 16A OS=Homo sapiens GN=LRRC16A PE=1 SV=1
m.7131,978,11,12,3,20,9,5,0.216,0.8247,1,1,0.976509,Agrin OS=Homo sapiens GN=AGRN PE=1 SV=5
m.7138,221,0,0,0,1,0,0,-0.168,-0.1912,0.464568,0.91728,1,Cytoplasmic FMR1-interacting protein 1 homolog OS=Danio rerio GN=cyfip1 PE=2 SV=1
m.7140,275,2,24,21,5,7,7,-0.997,-3.4704,0.004022,0.98926,0.000482,m.7140
symbB1.EST_k37c20_3016|m.7153,218,0,0,1,1,0,0,-0.135,-0.1605,0.451338,0.949293,1,symbB1.EST_k37c20_3016 g.7153  ORF symbB1.EST_k37c20_3016 g.7153 symbB1.EST_k37c20_3016 m.7153 type:5prime_partial len:218 (-) symbB1.EST_k37c20_3016:33-686(-)
m.7154,627,0,0,0,1,0,0,-0.112,-0.1361,0.447544,0.981208,0.988759,Rho guanine nucleotide exchange factor 28 OS=Rattus norvegicus GN=Arhgef28 PE=1 SV=1
m.7159,1549,1,1,6,6,6,2,0.525,1.1782,1,0.672826,0.999616,Dystrophin OS=Sus scrofa GN=DMD PE=1 SV=1
m.7168,302,0,1,1,0,0,0,-0.108,-0.1186,0.448417,1,0.968372,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Bos taurus GN=DDAH1 PE=1 SV=3"
symbB1.EST_k37c20_34357|m.71826,522,0,1,0,0,0,0,-0.055,-0.0632,0.47136,1,0.913104,symbB1.EST_k37c20_34357 g.71826  ORF symbB1.EST_k37c20_34357 g.71826 symbB1.EST_k37c20_34357 m.71826 type:5prime_partial len:522 (-) symbB1.EST_k37c20_34357:69-1634(-)
m.7183,139,1,2,2,0,3,3,0.364,0.5958,1,1,0.941711,Tyrosine-protein kinase SRK2 (Fragment) OS=Spongilla lacustris GN=SRK2 PE=2 SV=1
symbB1.EST_k37c20_3027|m.7190,362,0,8,0,0,0,0,-1.454,-1.9779,0.62324,1,0.200476,symbB1.EST_k37c20_3027 g.7190  ORF symbB1.EST_k37c20_3027 g.7190 symbB1.EST_k37c20_3027 m.7190 type:5prime_partial len:362 (+) symbB1.EST_k37c20_3027:3-1088(+)
m.720,102,7,8,7,11,13,2,0.087,0.3184,1,1,0.875647,Dynein light chain roadblock-type 2 OS=Bos taurus GN=DYNLRB2 PE=3 SV=1
m.7201,1122,1,0,0,1,0,0,-0.024,-0.0265,0.504814,1,0.885055,Laminin subunit gamma-1 OS=Xenopus tropicalis GN=lamc1 PE=2 SV=1
m.7206,974,21,21,9,13,14,7,-0.49,-2.225,0.35211,1,0.100359,Neutral alpha-glucosidase AB OS=Mus musculus GN=Ganab PE=1 SV=1
m.7209,320,1,1,1,2,1,1,0.211,0.2674,1,1,0.8633,Retinol dehydrogenase 14 OS=Mus musculus GN=Rdh14 PE=2 SV=1
m.721,1283,3,0,0,1,2,0,-0.3,-0.4376,1,0.839509,1,Disco-interacting protein 2 homolog C OS=Homo sapiens GN=DIP2C PE=2 SV=2
m.7210,168,2,4,3,4,1,1,-0.51,-0.9384,1,0.95602,1,Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3
m.7211,854,0,0,0,1,0,0,-0.216,-0.2453,0.512714,0.87667,1,V-type proton ATPase 116 kDa subunit a isoform 1 OS=Mus musculus GN=Atp6v0a1 PE=1 SV=3
m.7223,105,1,0,0,0,0,0,-0.155,-0.1778,0.457614,0.931291,1,Predicted protein OS=Nematostella vectensis GN=v1g241754 PE=4 SV=1
symbB1.EST_k37c20_3045|m.7223,570,4,5,5,5,2,4,-0.303,-0.709,1,0.904887,1,symbB1.EST_k37c20_3045 g.7223  ORF symbB1.EST_k37c20_3045 g.7223 symbB1.EST_k37c20_3045 m.7223 type:complete len:570 (-) symbB1.EST_k37c20_3045:308-2017(-)
symbB1.EST_k37c20_34664|m.72356,354,0,0,0,0,0,1,-0.213,-0.2498,0.518283,0.873778,1,symbB1.EST_k37c20_34664 g.72356  ORF symbB1.EST_k37c20_34664 g.72356 symbB1.EST_k37c20_34664 m.72356 type:5prime_partial len:354 (+) symbB1.EST_k37c20_34664:3-1064(+)
m.7242,348,0,0,0,0,1,0,-0.154,-0.1856,0.461437,0.92412,1,m.7242
m.725,200,0,1,0,2,2,1,0.503,0.6218,1,1,0.94663,"Dynein light chain 1, axonemal OS=Bos taurus GN=DNAL1 PE=2 SV=1"
symbB1.EST_k37c20_34811|m.72609,265,2,1,0,1,1,0,-0.433,-0.544,1,0.860492,1,symbB1.EST_k37c20_34811 g.72609  ORF symbB1.EST_k37c20_34811 g.72609 symbB1.EST_k37c20_34811 m.72609 type:complete len:265 (+) symbB1.EST_k37c20_34811:55-849(+)
m.7262,373,49,63,85,54,64,132,0.164,1.6969,0.915414,0.208721,1,Melanotransferrin OS=Oryctolagus cuniculus GN=Mfi2 PE=2 SV=1
m.7276,101,0,1,8,1,2,6,-0.235,-0.4893,1,0.848002,1,Predicted protein OS=Nematostella vectensis GN=v1g218031 PE=4 SV=1
m.7285,870,1,3,1,3,2,0,0.116,0.1852,1,1,0.847214,Neurabin-1 OS=Rattus norvegicus GN=Ppp1r9a PE=1 SV=1
symbB1.EST_k37c20_3066|m.7286,202,1,0,0,1,0,0,-0.122,-0.1379,0.447627,0.978124,0.991804,symbB1.EST_k37c20_3066 g.7286  ORF symbB1.EST_k37c20_3066 g.7286 symbB1.EST_k37c20_3066 m.7286 type:complete len:202 (+) symbB1.EST_k37c20_3066:103-708(+)
m.7288,361,16,23,10,25,20,9,0.018,0.0895,0.733606,1,0.844487,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Mus musculus GN=Pdhb PE=1 SV=1"
m.7296,413,118,193,246,257,217,296,0.25,4.5915,0,0,0.985179,Radixin OS=Mus musculus GN=Rdx PE=1 SV=3
symbB1.EST_k37c20_3070|m.7296,138,142,134,116,119,123,126,-0.133,-1.7826,0.978071,1,0.325433,symbB1.EST_k37c20_3070 g.7296  ORF symbB1.EST_k37c20_3070 g.7296 symbB1.EST_k37c20_3070 m.7296 type:3prime_partial len:139 (-) symbB1.EST_k37c20_3070:3-416(-)
m.7297,100,28,34,11,27,29,19,-0.064,-0.4047,0.898582,0.836959,1,Ezrin OS=Bos taurus GN=EZR PE=1 SV=2
m.7304,285,0,3,0,0,0,0,-0.618,-0.7889,1,0.924955,1,m.7304
symbB1.EST_k37c20_3072|m.7306,173,3,0,0,0,0,0,-0.642,-0.7913,1,0.925512,1,symbB1.EST_k37c20_3072 g.7306  ORF symbB1.EST_k37c20_3072 g.7306 symbB1.EST_k37c20_3072 m.7306 type:complete len:173 (-) symbB1.EST_k37c20_3072:119-637(-)
m.733,773,3,13,13,13,15,10,0.215,0.8742,1,1,0.981688,Glutamine--tRNA ligase OS=Homo sapiens GN=QARS PE=1 SV=1
