Protein,Len,NN,NN,NN,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,
symbB1.EST_k37c20_21027|m.47130,475,8,0,0,0,0,0,-1.19,-1.6937,0,0.605998,0,symbB1.EST_k37c20_21027 g.47130  ORF symbB1.EST_k37c20_21027 g.47130 symbB1.EST_k37c20_21027 m.47130 type:5prime_partial len:475 (+) symbB1.EST_k37c20_21027:2-1426(+),
symbB1.EST_k37c20_21115|m.47298,616,1,2,1,1,0,0,-0.142,-0.1828,0.911027,0.677716,0.189846,symbB1.EST_k37c20_21115 g.47298  ORF symbB1.EST_k37c20_21115 g.47298 symbB1.EST_k37c20_21115 m.47298 type:internal len:617 (+) symbB1.EST_k37c20_21115:3-1850(+),
symbB1.EST_k37c20_21272|m.47629,2069,0,0,0,4,3,1,1.186,1.6932,0,0,0.658967,symbB1.EST_k37c20_21272 g.47629  ORF symbB1.EST_k37c20_21272 g.47629 symbB1.EST_k37c20_21272 m.47629 type:internal len:2070 (-) symbB1.EST_k37c20_21272:1-6207(-),
symbB1.EST_k37c20_21294|m.47669,506,0,2,2,0,0,0,-0.457,-0.625,0.021972,0.658826,0.001113,symbB1.EST_k37c20_21294 g.47669  ORF symbB1.EST_k37c20_21294 g.47669 symbB1.EST_k37c20_21294 m.47669 type:5prime_partial len:506 (+) symbB1.EST_k37c20_21294:3-1520(+),
symbB1.EST_k37c20_21314|m.47711,405,0,2,1,1,0,0,-0.246,-0.3167,0.577194,0.682766,0.061866,symbB1.EST_k37c20_21314 g.47711  ORF symbB1.EST_k37c20_21314 g.47711 symbB1.EST_k37c20_21314 m.47711 type:5prime_partial len:405 (+) symbB1.EST_k37c20_21314:3-1217(+),
symbB1.EST_k37c20_21398|m.47904,144,11,7,4,7,6,7,0.082,0.2548,1,0.398483,0.68893,symbB1.EST_k37c20_21398 g.47904  ORF symbB1.EST_k37c20_21398 g.47904 symbB1.EST_k37c20_21398 m.47904 type:5prime_partial len:144 (+) symbB1.EST_k37c20_21398:1-432(+),
symbB1.EST_k37c20_2140|m.5027,307,0,0,1,0,0,0,0.134,0.1451,1,0.522647,0.619128,symbB1.EST_k37c20_2140 g.5027  ORF symbB1.EST_k37c20_2140 g.5027 symbB1.EST_k37c20_2140 m.5027 type:complete len:307 (-) symbB1.EST_k37c20_2140:81-1001(-),
symbB1.EST_k37c20_21482|m.48092,505,0,9,0,10,12,12,1.351,3.7297,0,0,0.591161,symbB1.EST_k37c20_21482 g.48092  ORF symbB1.EST_k37c20_21482 g.48092 symbB1.EST_k37c20_21482 m.48092 type:5prime_partial len:505 (-) symbB1.EST_k37c20_21482:145-1659(-),
symbB1.EST_k37c20_21485|m.48096,674,1,0,1,0,0,0,0.113,0.1351,1,0.531953,0.610715,symbB1.EST_k37c20_21485 g.48096  ORF symbB1.EST_k37c20_21485 g.48096 symbB1.EST_k37c20_21485 m.48096 type:5prime_partial len:674 (+) symbB1.EST_k37c20_21485:3-2024(+),
symbB1.EST_k37c20_21614|m.48388,335,7,5,4,3,3,5,-0.247,-0.6321,0.019797,0.658214,0.000992,symbB1.EST_k37c20_21614 g.48388  ORF symbB1.EST_k37c20_21614 g.48388 symbB1.EST_k37c20_21614 m.48388 type:5prime_partial len:335 (-) symbB1.EST_k37c20_21614:78-1082(-),
symbB1.EST_k37c20_2164|m.5076,4652,0,0,0,1,0,0,0.074,0.0853,1,0.573106,0.562974,symbB1.EST_k37c20_2164 g.5076  ORF symbB1.EST_k37c20_2164 g.5076 symbB1.EST_k37c20_2164 m.5076 type:complete len:4652 (+) symbB1.EST_k37c20_2164:109-14064(+),
symbB1.EST_k37c20_21725|m.48588,165,2,2,0,0,0,0,-0.5,-0.588,0.037191,0.662081,0.001992,symbB1.EST_k37c20_21725 g.48588  ORF symbB1.EST_k37c20_21725 g.48588 symbB1.EST_k37c20_21725 m.48588 type:complete len:165 (-) symbB1.EST_k37c20_21725:81-575(-),
symbB1.EST_k37c20_21946|m.49032,657,2,0,1,11,13,9,2.406,4.1991,0,0,0.584576,symbB1.EST_k37c20_21946 g.49032  ORF symbB1.EST_k37c20_21946 g.49032 symbB1.EST_k37c20_21946 m.49032 type:complete len:657 (-) symbB1.EST_k37c20_21946:73-2043(-),
symbB1.EST_k37c20_22142|m.49459,627,4,1,1,2,3,1,0.106,0.1764,1,0.49124,0.643081,symbB1.EST_k37c20_22142 g.49459  ORF symbB1.EST_k37c20_22142 g.49459 symbB1.EST_k37c20_22142 m.49459 type:internal len:628 (-) symbB1.EST_k37c20_22142:2-1882(-),
symbB1.EST_k37c20_22308|m.49814,269,1,2,0,0,0,0,-0.231,-0.2808,0.688673,0.683258,0.086952,symbB1.EST_k37c20_22308 g.49814  ORF symbB1.EST_k37c20_22308 g.49814 symbB1.EST_k37c20_22308 m.49814 type:internal len:270 (+) symbB1.EST_k37c20_22308:2-808(+),
symbB1.EST_k37c20_22411|m.50007,621,0,2,2,0,0,0,-0.421,-0.5999,0.031498,0.661023,0.001657,symbB1.EST_k37c20_22411 g.50007  ORF symbB1.EST_k37c20_22411 g.50007 symbB1.EST_k37c20_22411 m.50007 type:5prime_partial len:621 (+) symbB1.EST_k37c20_22411:3-1865(+),
symbB1.EST_k37c20_22727|m.50597,266,0,2,4,1,0,2,-0.485,-0.7337,0.003986,0.649991,0.000172,symbB1.EST_k37c20_22727 g.50597  ORF symbB1.EST_k37c20_22727 g.50597 symbB1.EST_k37c20_22727 m.50597 type:complete len:266 (+) symbB1.EST_k37c20_22727:94-891(+),
symbB1.EST_k37c20_23101|m.51379,247,1,0,1,0,0,0,0.138,0.1471,1,0.520744,0.620766,symbB1.EST_k37c20_23101 g.51379  ORF symbB1.EST_k37c20_23101 g.51379 symbB1.EST_k37c20_23101 m.51379 type:5prime_partial len:247 (-) symbB1.EST_k37c20_23101:85-825(-),
symbB1.EST_k37c20_2316|m.5488,344,1,0,0,0,0,0,0.131,0.1626,1,0.50551,0.632956,symbB1.EST_k37c20_2316 g.5488  ORF symbB1.EST_k37c20_2316 g.5488 symbB1.EST_k37c20_2316 m.5488 type:5prime_partial len:344 (+) symbB1.EST_k37c20_2316:3-1034(+),
symbB1.EST_k37c20_23390|m.51940,1652,6,6,8,10,10,9,0.529,1.8828,0,0,0.647642,symbB1.EST_k37c20_23390 g.51940  ORF symbB1.EST_k37c20_23390 g.51940 symbB1.EST_k37c20_23390 m.51940 type:5prime_partial len:1652 (-) symbB1.EST_k37c20_23390:27-4982(-),
symbB1.EST_k37c20_23403|m.51979,420,0,0,1,1,0,0,0.134,0.1616,1,0.506519,0.632197,symbB1.EST_k37c20_23403 g.51979  ORF symbB1.EST_k37c20_23403 g.51979 symbB1.EST_k37c20_23403 m.51979 type:complete len:420 (+) symbB1.EST_k37c20_23403:72-1331(+),
symbB1.EST_k37c20_23569|m.52289,899,2,0,0,2,0,0,0.121,0.1729,1,0.494921,0.640577,symbB1.EST_k37c20_23569 g.52289  ORF symbB1.EST_k37c20_23569 g.52289 symbB1.EST_k37c20_23569 m.52289 type:5prime_partial len:899 (+) symbB1.EST_k37c20_23569:3-2699(+),
symbB1.EST_k37c20_2414|m.5716,453,1,7,1,1,2,1,-0.77,-1.277,0,0.620379,0,symbB1.EST_k37c20_2414 g.5716  ORF symbB1.EST_k37c20_2414 g.5716 symbB1.EST_k37c20_2414 m.5716 type:complete len:453 (-) symbB1.EST_k37c20_2414:157-1515(-),
symbB1.EST_k37c20_24141|m.53409,1642,5,0,2,4,2,2,0.14,0.2852,1,0.358249,0.70209,symbB1.EST_k37c20_24141 g.53409  ORF symbB1.EST_k37c20_24141 g.53409 symbB1.EST_k37c20_24141 m.53409 type:internal len:1643 (-) symbB1.EST_k37c20_24141:2-4927(-),
symbB1.EST_k37c20_2434|m.5762,166,0,0,0,1,2,3,0.86,1.1381,0.000274,0.000007,0.702331,symbB1.EST_k37c20_2434 g.5762  ORF symbB1.EST_k37c20_2434 g.5762 symbB1.EST_k37c20_2434 m.5762 type:3prime_partial len:167 (+) symbB1.EST_k37c20_2434:66-563(+),
symbB1.EST_k37c20_24460|m.54041,187,1,1,3,0,1,1,-0.398,-0.5027,0.111316,0.669805,0.00688,symbB1.EST_k37c20_24460 g.54041  ORF symbB1.EST_k37c20_24460 g.54041 symbB1.EST_k37c20_24460 m.54041 type:complete len:187 (+) symbB1.EST_k37c20_24460:57-617(+),
symbB1.EST_k37c20_24461|m.54043,2651,8,0,0,0,0,0,-1.226,-1.7407,0,0.604715,0,symbB1.EST_k37c20_24461 g.54043  ORF symbB1.EST_k37c20_24461 g.54043 symbB1.EST_k37c20_24461 m.54043 type:5prime_partial len:2651 (+) symbB1.EST_k37c20_24461:3-7955(+),
symbB1.EST_k37c20_2548|m.6110,212,18,21,10,18,15,17,0.175,0.8599,0.03996,0.001181,0.727657,symbB1.EST_k37c20_2548 g.6110  ORF symbB1.EST_k37c20_2548 g.6110 symbB1.EST_k37c20_2548 m.6110 type:5prime_partial len:212 (+) symbB1.EST_k37c20_2548:1-636(+),
symbB1.EST_k37c20_2551|m.6123,568,0,0,0,0,1,0,0.084,0.0982,1,0.563262,0.576295,symbB1.EST_k37c20_2551 g.6123  ORF symbB1.EST_k37c20_2551 g.6123 symbB1.EST_k37c20_2551 m.6123 type:5prime_partial len:568 (+) symbB1.EST_k37c20_2551:1-1704(+),
symbB1.EST_k37c20_2583|m.6170,305,0,2,0,8,6,6,1.8,3.0914,0,0,0.605154,symbB1.EST_k37c20_2583 g.6170  ORF symbB1.EST_k37c20_2583 g.6170 symbB1.EST_k37c20_2583 m.6170 type:internal len:306 (-) symbB1.EST_k37c20_2583:3-917(-),
symbB1.EST_k37c20_262|m.561,1089,0,1,13,4,5,2,-0.169,-0.4377,0.225665,0.675466,0.016057,symbB1.EST_k37c20_262 g.561  ORF symbB1.EST_k37c20_262 g.561 symbB1.EST_k37c20_262 m.561 type:complete len:1089 (+) symbB1.EST_k37c20_262:71-3337(+),
symbB1.EST_k37c20_26253|m.57502,594,0,1,0,0,0,0,0.085,0.0966,1,0.564513,0.574679,symbB1.EST_k37c20_26253 g.57502  ORF symbB1.EST_k37c20_26253 g.57502 symbB1.EST_k37c20_26253 m.57502 type:5prime_partial len:594 (-) symbB1.EST_k37c20_26253:49-1830(-),
symbB1.EST_k37c20_26905|m.58739,283,0,1,3,2,2,1,0.173,0.2637,1,0.386889,0.693021,symbB1.EST_k37c20_26905 g.58739  ORF symbB1.EST_k37c20_26905 g.58739 symbB1.EST_k37c20_26905 m.58739 type:5prime_partial len:283 (-) symbB1.EST_k37c20_26905:88-936(-),
symbB1.EST_k37c20_27166|m.59212,346,12,18,12,6,5,4,-0.871,-2.7988,0,0.586952,0,symbB1.EST_k37c20_27166 g.59212  ORF symbB1.EST_k37c20_27166 g.59212 symbB1.EST_k37c20_27166 m.59212 type:5prime_partial len:346 (+) symbB1.EST_k37c20_27166:3-1040(+),
symbB1.EST_k37c20_27532|m.59931,481,0,2,0,2,3,2,0.691,1.0886,0.000751,0.000019,0.70671,symbB1.EST_k37c20_27532 g.59931  ORF symbB1.EST_k37c20_27532 g.59931 symbB1.EST_k37c20_27532 m.59931 type:complete len:481 (-) symbB1.EST_k37c20_27532:188-1630(-),
symbB1.EST_k37c20_28060|m.60885,926,0,0,2,0,0,0,-0.199,-0.234,0.813134,0.682059,0.129775,symbB1.EST_k37c20_28060 g.60885  ORF symbB1.EST_k37c20_28060 g.60885 symbB1.EST_k37c20_28060 m.60885 type:complete len:926 (-) symbB1.EST_k37c20_28060:98-2875(-),
symbB1.EST_k37c20_2817|m.6645,354,13,19,11,35,30,34,0.989,5.5997,0,0,0.574916,symbB1.EST_k37c20_2817 g.6645  ORF symbB1.EST_k37c20_2817 g.6645 symbB1.EST_k37c20_2817 m.6645 type:internal len:355 (+) symbB1.EST_k37c20_2817:1-1062(+),
symbB1.EST_k37c20_2835|m.6680,165,3,0,1,0,0,0,-0.447,-0.5778,0.042778,0.662994,0.002328,symbB1.EST_k37c20_2835 g.6680  ORF symbB1.EST_k37c20_2835 g.6680 symbB1.EST_k37c20_2835 m.6680 type:complete len:165 (-) symbB1.EST_k37c20_2835:705-1199(-),
symbB1.EST_k37c20_28362|m.61431,126,6,1,6,2,1,3,-0.686,-1.3068,0,0.619172,0,symbB1.EST_k37c20_28362 g.61431  ORF symbB1.EST_k37c20_28362 g.61431 symbB1.EST_k37c20_28362 m.61431 type:internal len:127 (+) symbB1.EST_k37c20_28362:1-378(+),
symbB1.EST_k37c20_2873|m.6770,351,4,6,0,0,0,1,-1.32,-1.9552,0,0.599602,0,symbB1.EST_k37c20_2873 g.6770  ORF symbB1.EST_k37c20_2873 g.6770 symbB1.EST_k37c20_2873 m.6770 type:complete len:351 (+) symbB1.EST_k37c20_2873:87-1139(+),
symbB1.EST_k37c20_28846|m.62323,470,2,1,0,0,0,0,-0.252,-0.3131,0.588896,0.682862,0.064097,symbB1.EST_k37c20_28846 g.62323  ORF symbB1.EST_k37c20_28846 g.62323 symbB1.EST_k37c20_28846 m.62323 type:5prime_partial len:470 (+) symbB1.EST_k37c20_28846:3-1412(+),
symbB1.EST_k37c20_2897|m.6839,101,0,0,1,0,0,0,0.138,0.1371,1,0.53012,0.612428,symbB1.EST_k37c20_2897 g.6839  ORF symbB1.EST_k37c20_2897 g.6839 symbB1.EST_k37c20_2897 m.6839 type:complete len:101 (-) symbB1.EST_k37c20_2897:24-326(-),
symbB1.EST_k37c20_2900|m.6850,320,13,14,12,8,2,2,-1.056,-3.2105,0,0.582314,0,symbB1.EST_k37c20_2900 g.6850  ORF symbB1.EST_k37c20_2900 g.6850 symbB1.EST_k37c20_2900 m.6850 type:complete len:320 (-) symbB1.EST_k37c20_2900:437-1396(-),
symbB1.EST_k37c20_29288|m.63124,732,0,0,0,0,0,1,0.122,0.149,1,0.518922,0.622309,symbB1.EST_k37c20_29288 g.63124  ORF symbB1.EST_k37c20_29288 g.63124 symbB1.EST_k37c20_29288 m.63124 type:3prime_partial len:733 (-) symbB1.EST_k37c20_29288:1-2196(-),
symbB1.EST_k37c20_2935|m.6930,230,0,0,2,0,0,0,-0.182,-0.2285,0.82563,0.681757,0.135583,symbB1.EST_k37c20_2935 g.6930  ORF symbB1.EST_k37c20_2935 g.6930 symbB1.EST_k37c20_2935 m.6930 type:complete len:230 (-) symbB1.EST_k37c20_2935:545-1234(-),
symbB1.EST_k37c20_2935|m.6931,199,5,6,11,4,4,6,-0.282,-0.8436,0.000554,0.642302,0.00002,symbB1.EST_k37c20_2935 g.6931  ORF symbB1.EST_k37c20_2935 g.6931 symbB1.EST_k37c20_2935 m.6931 type:complete len:199 (-) symbB1.EST_k37c20_2935:16-612(-),
symbB1.EST_k37c20_2935|m.6933,102,0,0,6,0,0,1,-0.906,-1.2283,0,0.62241,0,symbB1.EST_k37c20_2935 g.6933  ORF symbB1.EST_k37c20_2935 g.6933 symbB1.EST_k37c20_2935 m.6933 type:5prime_partial len:102 (-) symbB1.EST_k37c20_2935:1336-1641(-),
symbB1.EST_k37c20_2962|m.7004,867,0,0,0,0,1,1,0.138,0.1581,1,0.510021,0.629508,symbB1.EST_k37c20_2962 g.7004  ORF symbB1.EST_k37c20_2962 g.7004 symbB1.EST_k37c20_2962 m.7004 type:5prime_partial len:867 (-) symbB1.EST_k37c20_2962:32-2632(-),
symbB1.EST_k37c20_2976|m.7040,656,0,0,0,1,0,0,0.072,0.0833,1,0.574581,0.560847,symbB1.EST_k37c20_2976 g.7040  ORF symbB1.EST_k37c20_2976 g.7040 symbB1.EST_k37c20_2976 m.7040 type:5prime_partial len:656 (+) symbB1.EST_k37c20_2976:2-1969(+),
symbB1.EST_k37c20_30052|m.64411,370,0,0,0,6,4,3,1.708,2.6494,0,0,0.616675,symbB1.EST_k37c20_30052 g.64411  ORF symbB1.EST_k37c20_30052 g.64411 symbB1.EST_k37c20_30052 m.64411 type:5prime_partial len:370 (-) symbB1.EST_k37c20_30052:71-1180(-),
symbB1.EST_k37c20_3016|m.7153,218,0,0,1,0,0,0,0.081,0.0991,1,0.562554,0.577199,symbB1.EST_k37c20_3016 g.7153  ORF symbB1.EST_k37c20_3016 g.7153 symbB1.EST_k37c20_3016 m.7153 type:5prime_partial len:218 (-) symbB1.EST_k37c20_3016:33-686(-),
symbB1.EST_k37c20_3027|m.7190,362,0,8,0,0,0,6,-0.099,-0.1895,0.900639,0.678491,0.181255,symbB1.EST_k37c20_3027 g.7190  ORF symbB1.EST_k37c20_3027 g.7190 symbB1.EST_k37c20_3027 m.7190 type:5prime_partial len:362 (+) symbB1.EST_k37c20_3027:3-1088(+),
symbB1.EST_k37c20_3045|m.7223,570,4,5,5,1,3,3,-0.59,-1.1871,0,0.624191,0,symbB1.EST_k37c20_3045 g.7223  ORF symbB1.EST_k37c20_3045 g.7223 symbB1.EST_k37c20_3045 m.7223 type:complete len:570 (-) symbB1.EST_k37c20_3045:308-2017(-),
symbB1.EST_k37c20_3066|m.7286,202,1,0,0,1,0,0,-0.009,-0.0106,1,0.630077,0.443406,symbB1.EST_k37c20_3066 g.7286  ORF symbB1.EST_k37c20_3066 g.7286 symbB1.EST_k37c20_3066 m.7286 type:complete len:202 (+) symbB1.EST_k37c20_3066:103-708(+),
symbB1.EST_k37c20_3070|m.7296,138,142,134,116,0,0,0,-4.852,-7.7289,0,0.570485,0,symbB1.EST_k37c20_3070 g.7296  ORF symbB1.EST_k37c20_3070 g.7296 symbB1.EST_k37c20_3070 m.7296 type:3prime_partial len:139 (-) symbB1.EST_k37c20_3070:3-416(-),
symbB1.EST_k37c20_3072|m.7306,173,3,0,0,3,3,1,0.534,0.8375,0.055207,0.001677,0.72973,symbB1.EST_k37c20_3072 g.7306  ORF symbB1.EST_k37c20_3072 g.7306 symbB1.EST_k37c20_3072 m.7306 type:complete len:173 (-) symbB1.EST_k37c20_3072:119-637(-),
symbB1.EST_k37c20_3101|m.7360,126,0,0,0,1,0,1,0.11,0.138,1,0.529291,0.613195,symbB1.EST_k37c20_3101 g.7360  ORF symbB1.EST_k37c20_3101 g.7360 symbB1.EST_k37c20_3101 m.7360 type:5prime_partial len:126 (+) symbB1.EST_k37c20_3101:1-378(+),
symbB1.EST_k37c20_31197|m.66423,243,4,3,3,2,2,2,-0.404,-0.8027,0.00119,0.645022,0.000046,symbB1.EST_k37c20_31197 g.66423  ORF symbB1.EST_k37c20_31197 g.66423 symbB1.EST_k37c20_31197 m.66423 type:5prime_partial len:243 (+) symbB1.EST_k37c20_31197:1-729(+),
symbB1.EST_k37c20_3137|m.7441,137,0,5,5,3,2,2,-0.28,-0.5678,0.048961,0.663895,0.002707,symbB1.EST_k37c20_3137 g.7441  ORF symbB1.EST_k37c20_3137 g.7441 symbB1.EST_k37c20_3137 m.7441 type:complete len:137 (-) symbB1.EST_k37c20_3137:112-522(-),
symbB1.EST_k37c20_3138|m.7442,296,3,7,10,4,3,4,-0.461,-1.1633,0,0.625248,0,symbB1.EST_k37c20_3138 g.7442  ORF symbB1.EST_k37c20_3138 g.7442 symbB1.EST_k37c20_3138 m.7442 type:5prime_partial len:296 (-) symbB1.EST_k37c20_3138:476-1363(-),
symbB1.EST_k37c20_3155|m.7489,688,1,0,0,0,11,8,2.136,3.2909,0,0,0.600427,symbB1.EST_k37c20_3155 g.7489  ORF symbB1.EST_k37c20_3155 g.7489 symbB1.EST_k37c20_3155 m.7489 type:5prime_partial len:688 (-) symbB1.EST_k37c20_3155:125-2188(-),
symbB1.EST_k37c20_31635|m.67185,172,0,1,0,0,0,0,0.116,0.1346,1,0.532409,0.610284,symbB1.EST_k37c20_31635 g.67185  ORF symbB1.EST_k37c20_31635 g.67185 symbB1.EST_k37c20_31635 m.67185 type:complete len:172 (+) symbB1.EST_k37c20_31635:53-568(+),
symbB1.EST_k37c20_319|m.681,429,1,4,4,2,3,4,0.145,0.3006,1,0.337321,0.707925,symbB1.EST_k37c20_319 g.681  ORF symbB1.EST_k37c20_319 g.681 symbB1.EST_k37c20_319 m.681 type:complete len:429 (+) symbB1.EST_k37c20_319:58-1344(+),
symbB1.EST_k37c20_3194|m.7561,532,4,10,14,2,1,4,-1.278,-2.9241,0,0.585364,0,symbB1.EST_k37c20_3194 g.7561  ORF symbB1.EST_k37c20_3194 g.7561 symbB1.EST_k37c20_3194 m.7561 type:5prime_partial len:532 (+) symbB1.EST_k37c20_3194:2-1597(+),
symbB1.EST_k37c20_32400|m.68510,739,0,1,0,0,0,0,0.098,0.1056,1,0.557361,0.583631,symbB1.EST_k37c20_32400 g.68510  ORF symbB1.EST_k37c20_32400 g.68510 symbB1.EST_k37c20_32400 m.68510 type:5prime_partial len:739 (+) symbB1.EST_k37c20_32400:3-2219(+),
symbB1.EST_k37c20_32552|m.68767,1170,0,3,0,5,4,3,1.076,1.8904,0,0,0.647227,symbB1.EST_k37c20_32552 g.68767  ORF symbB1.EST_k37c20_32552 g.68767 symbB1.EST_k37c20_32552 m.68767 type:5prime_partial len:1170 (-) symbB1.EST_k37c20_32552:115-3624(-),
symbB1.EST_k37c20_32715|m.69044,682,1,0,1,0,0,0,0.18,0.2112,1,0.452381,0.665753,symbB1.EST_k37c20_32715 g.69044  ORF symbB1.EST_k37c20_32715 g.69044 symbB1.EST_k37c20_32715 m.69044 type:5prime_partial len:682 (+) symbB1.EST_k37c20_32715:2-2047(+),
symbB1.EST_k37c20_3283|m.7800,496,2,2,5,2,3,2,-0.092,-0.1769,0.919521,0.676978,0.197578,symbB1.EST_k37c20_3283 g.7800  ORF symbB1.EST_k37c20_3283 g.7800 symbB1.EST_k37c20_3283 m.7800 type:5prime_partial len:496 (-) symbB1.EST_k37c20_3283:145-1632(-),
symbB1.EST_k37c20_3326|m.7935,316,0,0,7,0,0,0,-1.056,-1.516,0,0.611455,0,symbB1.EST_k37c20_3326 g.7935  ORF symbB1.EST_k37c20_3326 g.7935 symbB1.EST_k37c20_3326 m.7935 type:internal len:317 (-) symbB1.EST_k37c20_3326:3-950(-),
symbB1.EST_k37c20_3355|m.8002,163,2,14,18,6,4,2,-0.904,-2.6581,0,0.588828,0,symbB1.EST_k37c20_3355 g.8002  ORF symbB1.EST_k37c20_3355 g.8002 symbB1.EST_k37c20_3355 m.8002 type:5prime_partial len:163 (-) symbB1.EST_k37c20_3355:226-714(-),
symbB1.EST_k37c20_3362|m.8010,1893,0,0,0,3,4,3,1.421,2.2953,0,0,0.629036,symbB1.EST_k37c20_3362 g.8010  ORF symbB1.EST_k37c20_3362 g.8010 symbB1.EST_k37c20_3362 m.8010 type:5prime_partial len:1893 (-) symbB1.EST_k37c20_3362:7-5685(-),
symbB1.EST_k37c20_33663|m.70659,599,0,0,0,0,1,1,0.076,0.0887,1,0.570565,0.566551,symbB1.EST_k37c20_33663 g.70659  ORF symbB1.EST_k37c20_33663 g.70659 symbB1.EST_k37c20_33663 m.70659 type:5prime_partial len:599 (-) symbB1.EST_k37c20_33663:171-1967(-),
symbB1.EST_k37c20_3367|m.8026,143,1,7,4,6,7,7,0.672,1.8316,0,0,0.650514,symbB1.EST_k37c20_3367 g.8026  ORF symbB1.EST_k37c20_3367 g.8026 symbB1.EST_k37c20_3367 m.8026 type:5prime_partial len:143 (-) symbB1.EST_k37c20_3367:54-482(-),
symbB1.EST_k37c20_3378|m.8052,1598,0,0,0,2,0,1,0.488,0.6148,0.560675,0.031905,0.74675,symbB1.EST_k37c20_3378 g.8052  ORF symbB1.EST_k37c20_3378 g.8052 symbB1.EST_k37c20_3378 m.8052 type:complete len:1598 (-) symbB1.EST_k37c20_3378:423-5216(-),
symbB1.EST_k37c20_34357|m.71826,522,0,1,0,0,0,0,0.172,0.1903,1,0.476202,0.652615,symbB1.EST_k37c20_34357 g.71826  ORF symbB1.EST_k37c20_34357 g.71826 symbB1.EST_k37c20_34357 m.71826 type:5prime_partial len:522 (-) symbB1.EST_k37c20_34357:69-1634(-),
symbB1.EST_k37c20_34811|m.72609,265,2,1,0,2,1,1,0.188,0.2472,1,0.408243,0.685273,symbB1.EST_k37c20_34811 g.72609  ORF symbB1.EST_k37c20_34811 g.72609 symbB1.EST_k37c20_34811 m.72609 type:complete len:265 (+) symbB1.EST_k37c20_34811:55-849(+),
symbB1.EST_k37c20_35331|m.73474,716,0,2,1,1,0,0,-0.19,-0.2304,0.821484,0.681866,0.133559,symbB1.EST_k37c20_35331 g.73474  ORF symbB1.EST_k37c20_35331 g.73474 symbB1.EST_k37c20_35331 m.73474 type:5prime_partial len:716 (-) symbB1.EST_k37c20_35331:2152-4299(-),
symbB1.EST_k37c20_35485|m.73684,496,1,2,0,0,0,1,-0.247,-0.3131,0.588896,0.682862,0.064097,symbB1.EST_k37c20_35485 g.73684  ORF symbB1.EST_k37c20_35485 g.73684 symbB1.EST_k37c20_35485 m.73684 type:5prime_partial len:496 (+) symbB1.EST_k37c20_35485:2-1489(+),
symbB1.EST_k37c20_35567|m.73809,393,1,2,0,1,0,2,0.128,0.1788,1,0.488691,0.644775,symbB1.EST_k37c20_35567 g.73809  ORF symbB1.EST_k37c20_35567 g.73809 symbB1.EST_k37c20_35567 m.73809 type:5prime_partial len:393 (+) symbB1.EST_k37c20_35567:3-1181(+),
symbB1.EST_k37c20_35923|m.74384,408,3,2,1,2,0,1,-0.264,-0.4151,0.279807,0.677263,0.021137,symbB1.EST_k37c20_35923 g.74384  ORF symbB1.EST_k37c20_35923 g.74384 symbB1.EST_k37c20_35923 m.74384 type:complete len:408 (-) symbB1.EST_k37c20_35923:102-1325(-),
symbB1.EST_k37c20_37308|m.76453,115,6,2,8,4,4,4,-0.137,-0.3404,0.500868,0.681909,0.048663,symbB1.EST_k37c20_37308 g.76453  ORF symbB1.EST_k37c20_37308 g.76453 symbB1.EST_k37c20_37308 m.76453 type:5prime_partial len:115 (+) symbB1.EST_k37c20_37308:1-345(+),
symbB1.EST_k37c20_3735|m.8908,705,4,2,6,10,5,9,0.879,2.3888,0,0,0.625559,symbB1.EST_k37c20_3735 g.8908  ORF symbB1.EST_k37c20_3735 g.8908 symbB1.EST_k37c20_3735 m.8908 type:5prime_partial len:705 (-) symbB1.EST_k37c20_3735:137-2251(-),
symbB1.EST_k37c20_37403|m.76597,647,0,0,0,10,11,11,2.639,4.0397,0,0,0.586366,symbB1.EST_k37c20_37403 g.76597  ORF symbB1.EST_k37c20_37403 g.76597 symbB1.EST_k37c20_37403 m.76597 type:3prime_partial len:648 (-) symbB1.EST_k37c20_37403:1-1941(-),
symbB1.EST_k37c20_3763|m.8967,138,14,4,11,5,7,5,-0.372,-1.1944,0,0.623871,0,symbB1.EST_k37c20_3763 g.8967  ORF symbB1.EST_k37c20_3763 g.8967 symbB1.EST_k37c20_3763 m.8967 type:5prime_partial len:138 (-) symbB1.EST_k37c20_3763:200-613(-),
symbB1.EST_k37c20_3830|m.9127,133,18,10,8,8,8,8,-0.262,-1.0071,0.000018,0.632806,0.000001,symbB1.EST_k37c20_3830 g.9127  ORF symbB1.EST_k37c20_3830 g.9127 symbB1.EST_k37c20_3830 m.9127 type:complete len:133 (-) symbB1.EST_k37c20_3830:184-582(-),
symbB1.EST_k37c20_389|m.834,340,0,0,0,0,1,0,0.129,0.1521,1,0.515922,0.624795,symbB1.EST_k37c20_389 g.834  ORF symbB1.EST_k37c20_389 g.834 symbB1.EST_k37c20_389 m.834 type:3prime_partial len:341 (+) symbB1.EST_k37c20_389:628-1647(+),
symbB1.EST_k37c20_39215|m.79182,259,1,2,0,1,0,0,-0.164,-0.1997,0.883431,0.679545,0.168576,symbB1.EST_k37c20_39215 g.79182  ORF symbB1.EST_k37c20_39215 g.79182 symbB1.EST_k37c20_39215 m.79182 type:5prime_partial len:259 (+) symbB1.EST_k37c20_39215:3-779(+),
