Protein,Len,ON,ON,ON,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,Uniprot_updated
m.9560,412,9,27,9,3,0,1,-2.317,-4.7089,0,0.592022,0,Alpha-N-acetylgalactosaminidase OS=Gallus gallus GN=NAGA PE=1 SV=1,Q90744
m.9561,429,29,22,28,23,25,21,-0.211,-1.2788,0.000022,0.644715,0.000001,Eukaryotic initiation factor 4A-II OS=Rattus norvegicus GN=Eif4a2 PE=1 SV=1,Q5RKI1
m.9566,251,7,9,6,8,9,10,0.127,0.436,0.271849,0.014458,0.749535,Charged multivesicular body protein 2a OS=Danio rerio GN=chmp2a PE=2 SV=1,Q7ZW25
m.9571,451,0,0,0,0,0,0,-0.035,-0.0375,1,0.457663,0.687099,Coagulation factor VIII OS=Canis familiaris GN=F8 PE=2 SV=1,O18806
m.9578,173,266,303,225,181,171,179,-0.471,-8.5046,0,0.588639,0,Beta gamma crystallin isoform 10 (Fragment) OS=Montipora capitata PE=2 SV=1,A8C9M0
m.9583,214,0,0,0,4,6,6,1.722,2.4838,0,0,0.618892,Serine/arginine-rich splicing factor 12 OS=Homo sapiens GN=SRSF12 PE=2 SV=1,Q8WXF0
m.9587,410,0,2,1,1,1,0,-0.497,-0.6026,0.497174,0.698858,0.057726,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic OS=Takifugu rubripes GN=gpd1 PE=3 SV=1",O57656
m.9591,560,0,0,1,0,0,0,-0.188,-0.2154,1,0.618499,0.538501,Calcium homeostasis endoplasmic reticulum protein OS=Mus musculus GN=Cherp PE=1 SV=1,Q8CGZ0
m.9595,223,114,60,77,106,110,111,0.189,2.1729,0,0,0.628057,Peroxiredoxin-6 OS=Gallus gallus GN=PRDX6 PE=2 SV=3,Q5ZJF4
m.9596,217,1,1,1,3,3,2,1.014,1.3811,0,0,0.664115,MOB kinase activator 1B OS=Mus musculus GN=Mob1b PE=1 SV=3,Q8BPB0
m.96,182,3,2,6,1,1,1,-1.457,-2.052,0,0.61556,0,DAZ-associated protein 2 OS=Rattus norvegicus GN=Dazap2 PE=3 SV=1,P60486
m.9604,530,0,5,1,0,0,0,-1.042,-1.3641,0.000003,0.640236,0,Cholinesterase OS=Oryctolagus cuniculus GN=BCHE PE=2 SV=1,P21927
m.9611,446,0,0,0,0,0,0,-0.142,-0.1588,1,0.579093,0.59867,Protein casc4 OS=Xenopus laevis GN=casc4 PE=2 SV=1,Q32N32
m.9613,714,0,0,0,1,0,0,-0.101,-0.1142,1,0.540461,0.63717,Eukaryotic translation initiation factor 3 subunit B OS=Mus musculus GN=Eif3b PE=1 SV=1,Q8JZQ9
m.9614,496,0,0,0,0,0,1,-0.177,-0.2111,1,0.615859,0.543526,Acyloxyacyl hydrolase OS=Homo sapiens GN=AOAH PE=1 SV=1,P28039
m.9621,354,5,1,4,5,4,1,-0.091,-0.2022,1,0.610215,0.553691,m.9621,
m.9624,266,0,0,0,7,4,5,1.67,2.7036,0,0,0.613613,High mobility group protein B3 OS=Mus musculus GN=Hmgb3 PE=2 SV=3,O54879
m.9628,960,34,7,6,39,38,36,0.806,4.4457,0,0,0.593725,Dihydropyrimidine dehydrogenase [NADP(+)] OS=Homo sapiens GN=DPYD PE=1 SV=2,Q12882
m.965,551,33,28,30,65,51,52,0.538,4.2556,0,0,0.594621,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Danio rerio GN=sdha PE=2 SV=2",Q7ZVF3
m.9652,236,24,16,34,31,22,24,-0.044,-0.2823,1,0.652949,0.451276,Retinal dehydrogenase 1 OS=Oryctolagus cuniculus GN=ALDH1A1 PE=2 SV=1,Q8MI17
m.9654,1097,0,0,0,0,0,0,-0.119,-0.1367,1,0.560821,0.618694,Unconventional myosin-XVIIIa OS=Homo sapiens GN=MYO18A PE=1 SV=3,Q92614
m.9656,549,0,0,1,0,0,0,-0.062,-0.0734,1,0.498947,0.666086,Protein CBFA2T3 OS=Homo sapiens GN=CBFA2T3 PE=1 SV=2,O75081
m.9657,704,1,0,0,0,0,0,-0.144,-0.1728,1,0.589806,0.58499,Peroxidasin homolog OS=Mus musculus GN=Pxdn PE=2 SV=2,Q3UQ28
m.9666,288,20,0,46,99,111,97,1.462,10.427,0,0,0.587993,m.9666,
m.9671,177,0,0,0,0,0,0,-0.146,-0.1544,1,0.575589,0.602809,PREDICTED: tumor necrosis factor ligand superfamily member 10-like [Chrysemys picta bellii],XP_005279217
m.9689,170,31,20,18,41,33,33,0.366,2.3428,0,0,0.622864,Prohibitin OS=Gallus gallus GN=PHB PE=1 SV=1,P84173
m.9698,154,0,0,0,2,3,2,0.844,1.1425,0.000001,0,0.68235,Spermatogenesis-associated protein 20 OS=Homo sapiens GN=SPATA20 PE=2 SV=3,Q8TB22
m.9699,450,24,9,27,33,28,20,0.24,1.3932,0,0,0.663248,Tubulin alpha-1 chain OS=Aplysia californica PE=2 SV=1,Q8T6A5
m.9713,489,0,0,0,0,0,0,-0.161,-0.1868,1,0.59987,0.570523,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic OS=Gallus gallus GN=HMGCS1 PE=1 SV=1",P23228
m.9718,140,687,367,114,362,358,345,-0.158,-3.7919,0,0.595349,0,Histone H2A OS=Acropora formosa PE=3 SV=2,P35061
m.9719,128,0,0,0,0,0,0,-0.107,-0.1239,0.999961,0.549458,0.629435,Anaphase-promoting complex subunit 15 OS=Danio rerio GN=anapc15 PE=2 SV=1,F1QY75
m.972,503,0,1,0,2,1,1,0.25,0.3106,0.669111,0.057177,0.757625,Angiopoietin-1 receptor OS=Homo sapiens GN=TEK PE=1 SV=2,Q02763
m.9723,684,0,0,0,0,0,0,-0.216,-0.2354,1,0.630071,0.514164,Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=2,Q8NDA2
m.9726,370,0,0,2,1,0,1,-0.435,-0.5075,0.779631,0.700354,0.133943,Nuclear inhibitor of protein phosphatase 1 OS=Mus musculus GN=Ppp1r8 PE=1 SV=1,Q8R3G1
m.9728,225,1,0,0,0,0,0,-0.136,-0.1598,1,0.57988,0.597719,m.9728,
m.9734,585,6,4,4,5,4,5,-0.057,-0.1508,1,0.572674,0.606139,Exportin-1 OS=Rattus norvegicus GN=Xpo1 PE=1 SV=1,Q80U96
m.9738,222,23,38,78,22,23,25,-0.756,-5.2081,0,0.591012,0,Glutathione S-transferase OS=Blattella germanica PE=1 SV=3,O18598
m.9740,719,0,1,0,0,0,0,-0.167,-0.202,1,0.610086,0.553916,Caspase domain-containing protein OS=Xenococcus sp. PCC 7305 GN=Xen7305DRAFT_00036030 PE=4 SV=1,L8M1Y0
m.9741,712,0,0,2,0,0,0,-0.433,-0.5454,0.674391,0.700765,0.098007,L-amino-acid oxidase OS=Pseudechis australis PE=1 SV=1,Q4JHE1
m.9753,748,1,5,2,2,0,3,-0.416,-0.7372,0.161094,0.687692,0.012779,Vesicle-fusing ATPase 1 OS=Drosophila melanogaster GN=comt PE=2 SV=1,P46461
m.9756,182,15,2,0,7,9,7,0.152,0.4907,0.153775,0.007208,0.744141,m.9756,
m.9774,382,23,12,10,17,16,20,0.093,0.445,0.249184,0.012944,0.748693,"Alanine--glyoxylate aminotransferase 2, mitochondrial OS=Bos taurus GN=AGXT2 PE=2 SV=1",Q17QF0
m.9778,264,7,8,3,11,11,9,0.497,1.7023,0,0,0.644949,m.9778,
m.9779,278,9,6,6,12,14,14,0.607,2.3494,0,0,0.622669,m.9779,
m.9787,693,0,0,1,0,0,0,-0.031,-0.0361,1,0.455969,0.687842,Protein ELYS OS=Xenopus laevis GN=ahctf1 PE=1 SV=1,Q5U249
m.9807,393,45,27,46,43,35,39,-0.071,-0.5565,0.64095,0.700608,0.088917,Putative glycosyltransferase OS=Micromonospora lupini str. Lupac 08 GN=MILUP08_30041 PE=4 SV=1,I0L710
m.9808,239,0,0,1,0,0,0,-0.045,-0.05,1,0.47252,0.68022,DnaJ homolog subfamily B member 2 OS=Mus musculus GN=Dnajb2 PE=1 SV=2,Q9QYI5
m.9816,202,37,12,14,23,19,19,-0.11,-0.6078,0.480949,0.698565,0.054828,m.9816,
m.983,610,1,1,3,2,0,1,-0.406,-0.5559,0.642763,0.70062,0.089392,Sodium- and chloride-dependent GABA transporter 2 OS=Homo sapiens GN=SLC6A13 PE=1 SV=3,Q9NSD5
m.9830,219,0,0,0,0,0,0,-0.111,-0.1239,0.999961,0.549458,0.629435,Heme-binding protein 2 OS=Homo sapiens GN=HEBP2 PE=1 SV=1,Q9Y5Z4
m.9853,405,1,4,1,0,1,0,-0.874,-1.2049,0.000108,0.64901,0.000004,Cytohesin-1 OS=Homo sapiens GN=CYTH1 PE=1 SV=1,Q15438
m.9855,546,7,7,4,6,9,8,0.199,0.6024,0.03692,0.001458,0.732159,Annexin A7 OS=Homo sapiens GN=ANXA7 PE=1 SV=3,P20073
m.9863,516,2,0,1,0,3,6,0.859,1.3886,0,0,0.663577,Pre-B-cell leukemia transcription factor 1 OS=Mus musculus GN=Pbx1 PE=1 SV=2,P41778
m.9865,419,9,15,18,8,8,8,-0.654,-2.7542,0,0.603327,0,Deleted in malignant brain tumors 1 protein OS=Oryctolagus cuniculus GN=Dmbt1 PE=1 SV=2,Q95218
m.9872,361,0,0,1,0,0,0,-0.195,-0.2232,1,0.62315,0.529197,Cathepsin O OS=Homo sapiens GN=CTSO PE=2 SV=1,P43234
m.9873,222,0,11,10,1,0,0,-2.2,-3.4383,0,0.597217,0,Glutathione S-transferase OS=Blattella germanica PE=1 SV=3,O18598
m.9878,617,0,1,0,0,0,0,-0.16,-0.1864,1,0.599591,0.570947,SEC23-interacting protein OS=Mus musculus GN=Sec23ip PE=2 SV=2,Q6NZC7
m.9881,429,16,1,1,9,13,11,0.562,1.9739,0,0,0.634459,Vacuolar protein sorting-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS1 PE=1 SV=2,P21576
m.9884,211,0,0,0,0,0,0,-0.063,-0.0713,1,0.496652,0.667424,"NAD-dependent protein deacylase sirtuin-5, mitochondrial OS=Canis familiaris GN=SIRT5 PE=3 SV=1",E2RDZ6
m.9886,890,12,5,3,8,6,6,-0.092,-0.2734,1,0.649037,0.463786,m.9886,
m.9891,150,13,14,17,18,14,16,0.021,0.1046,0.999999,0.266059,0.739116,Calmodulin OS=Paxillus involutus GN=calA PE=2 SV=3,Q8X187
m.9912,268,0,1,0,0,0,0,-0.166,-0.1913,1,0.60297,0.565704,V-type proton ATPase subunit D OS=Pongo abelii GN=ATP6V1D PE=2 SV=1,Q5RCS8
m.9915,347,0,0,0,0,0,0,-0.1,-0.1166,1,0.542718,0.635288,Myotubularin OS=Pongo abelii GN=MTM1 PE=2 SV=1,Q5R9S3
m.9920,256,0,1,0,0,0,0,-0.123,-0.1396,1,0.563315,0.616175,GMP synthase [glutamine-hydrolyzing] OS=Rattus norvegicus GN=Gmps PE=1 SV=1,Q4V7C6
m.9925,1408,1,1,1,0,0,0,-0.072,-0.081,1,0.507126,0.661125,E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4 PE=1 SV=1,A2AN08
m.9927,451,4,0,0,0,0,0,-0.86,-1.1437,0.000368,0.652881,0.000016,Bifunctional 3_-phosphoadenosine 5_-phosphosulfate synthase OS=Urechis caupo PE=2 SV=1,Q27128
m.9935,160,0,4,5,2,0,0,-1.133,-1.7241,0,0.625699,0,Calcium-regulated heat stable protein 1 OS=Homo sapiens GN=CARHSP1 PE=1 SV=2,Q9Y2V2
m.9939,196,17,10,15,17,20,19,0.223,1.053,0.000007,0,0.689553,Vacuolar protein sorting-associated protein 29 OS=Homo sapiens GN=VPS29 PE=1 SV=1,Q9UBQ0
m.9952,327,0,0,0,0,0,0,-0.219,-0.2416,1,0.633428,0.506304,Histone-lysine N-methyltransferase setd3 OS=Xenopus tropicalis GN=setd3 PE=2 SV=1,B7ZUF3
m.9955,392,0,1,0,0,0,0,-0.227,-0.2621,1,0.643789,0.4793,Hsp90 co-chaperone Cdc37 OS=Tetraodon fluviatilis GN=cdc37 PE=3 SV=1,Q9DGQ7
m.9956,418,0,0,2,1,0,1,-0.455,-0.5788,0.571778,0.699965,0.07255,BRO1 domain-containing protein BROX OS=Xenopus tropicalis GN=brox PE=2 SV=1,A4IIL4
m.9957,415,94,53,76,102,105,113,0.285,3.1401,0,0,0.605496,Phosphoglycerate kinase 1 OS=Pongo abelii GN=PGK1 PE=2 SV=4,Q5NVB5
m.9972,351,34,20,32,10,11,9,-1.125,-5.5562,0,0.590477,0,Cathepsin L OS=Drosophila melanogaster GN=Cp1 PE=2 SV=2,Q95029
m.9978,986,1,0,0,1,0,0,-0.082,-0.0927,1,0.519321,0.653115,Reticulocyte-binding protein 2 homolog a OS=Plasmodium falciparum (isolate 3D7) GN=PF13_0198 PE=3 SV=1,Q8IDX6
m.9983,124,0,1,0,0,0,0,-0.119,-0.1305,0.999967,0.555389,0.623974,Protein disulfide-isomerase A4 OS=Homo sapiens GN=PDIA4 PE=1 SV=2,P13667
m.9986,274,11,16,22,11,6,7,-0.808,-3.2544,0,0.598505,0,Proteasome subunit beta type-4 OS=Bos taurus GN=PSMB4 PE=1 SV=1,Q3T108
m.9987,752,0,0,0,0,0,0,-0.121,-0.1419,1,0.565273,0.614154,Lysine-specific histone demethylase 1A OS=Mus musculus GN=Kdm1a PE=1 SV=2,Q6ZQ88
m.9990,280,0,0,0,0,0,0,-0.061,-0.0706,1,0.495884,0.667867,3-mercaptopyruvate sulfurtransferase OS=Homo sapiens GN=MPST PE=1 SV=3,P25325
m.9992,283,4,2,0,6,6,4,0.771,1.6971,0,0,0.645191,DCN1-like protein 1 OS=Homo sapiens GN=DCUN1D1 PE=1 SV=1,Q96GG9
symbB1.EST_k37c20_10084|m.23354,961,5,1,4,4,3,2,-0.153,-0.3299,1,0.670837,0.380849,symbB1.EST_k37c20_10084 g.23354  ORF symbB1.EST_k37c20_10084 g.23354 symbB1.EST_k37c20_10084 m.23354 type:internal len:962 (+) symbB1.EST_k37c20_10084:3-2885(+),
symbB1.EST_k37c20_10131|m.23447,349,0,1,0,0,0,0,-0.081,-0.0888,1,0.51531,0.655836,symbB1.EST_k37c20_10131 g.23447  ORF symbB1.EST_k37c20_10131 g.23447 symbB1.EST_k37c20_10131 m.23447 type:5prime_partial len:349 (+) symbB1.EST_k37c20_10131:1-1047(+),
symbB1.EST_k37c20_10192|m.23590,575,4,6,0,2,0,0,-1.138,-1.9139,0,0.619657,0,symbB1.EST_k37c20_10192 g.23590  ORF symbB1.EST_k37c20_10192 g.23590 symbB1.EST_k37c20_10192 m.23590 type:5prime_partial len:575 (-) symbB1.EST_k37c20_10192:60-1784(-),
symbB1.EST_k37c20_10199|m.23603,313,0,0,0,0,0,0,-0.112,-0.1309,0.999939,0.555744,0.623638,symbB1.EST_k37c20_10199 g.23603  ORF symbB1.EST_k37c20_10199 g.23603 symbB1.EST_k37c20_10199 m.23603 type:3prime_partial len:314 (+) symbB1.EST_k37c20_10199:43-981(+),
symbB1.EST_k37c20_1036|m.2331,146,16,6,14,18,17,20,0.347,1.6194,0,0,0.649058,symbB1.EST_k37c20_1036 g.2331  ORF symbB1.EST_k37c20_1036 g.2331 symbB1.EST_k37c20_1036 m.2331 type:complete len:146 (+) symbB1.EST_k37c20_1036:73-510(+),
symbB1.EST_k37c20_10425|m.24129,905,0,1,0,0,0,0,-0.117,-0.1381,1,0.562029,0.617482,symbB1.EST_k37c20_10425 g.24129  ORF symbB1.EST_k37c20_10425 g.24129 symbB1.EST_k37c20_10425 m.24129 type:5prime_partial len:905 (+) symbB1.EST_k37c20_10425:1-2715(+),
symbB1.EST_k37c20_10443|m.24166,184,0,0,0,1,2,1,0.202,0.2394,0.863683,0.108096,0.75711,symbB1.EST_k37c20_10443 g.24166  ORF symbB1.EST_k37c20_10443 g.24166 symbB1.EST_k37c20_10443 m.24166 type:5prime_partial len:184 (-) symbB1.EST_k37c20_10443:94-645(-),
symbB1.EST_k37c20_10467|m.24205,242,0,0,0,0,0,0,-0.136,-0.1674,1,0.585751,0.590359,symbB1.EST_k37c20_10467 g.24205  ORF symbB1.EST_k37c20_10467 g.24205 symbB1.EST_k37c20_10467 m.24205 type:complete len:242 (+) symbB1.EST_k37c20_10467:77-802(+),
symbB1.EST_k37c20_10559|m.24436,112,3,2,0,3,3,2,0.25,0.4528,0.23057,0.011746,0.747947,symbB1.EST_k37c20_10559 g.24436  ORF symbB1.EST_k37c20_10559 g.24436 symbB1.EST_k37c20_10559 m.24436 type:3prime_partial len:113 (+) symbB1.EST_k37c20_10559:88-423(+),
symbB1.EST_k37c20_10706|m.24774,508,18,7,11,13,15,13,0.085,0.3455,0.55305,0.04025,0.75627,symbB1.EST_k37c20_10706 g.24774  ORF symbB1.EST_k37c20_10706 g.24774 symbB1.EST_k37c20_10706 m.24774 type:complete len:508 (-) symbB1.EST_k37c20_10706:205-1728(-),
symbB1.EST_k37c20_10757|m.24896,192,3,8,4,0,0,0,-1.809,-2.6343,0,0.604619,0,symbB1.EST_k37c20_10757 g.24896  ORF symbB1.EST_k37c20_10757 g.24896 symbB1.EST_k37c20_10757 m.24896 type:5prime_partial len:192 (-) symbB1.EST_k37c20_10757:69-644(-),
symbB1.EST_k37c20_10761|m.24906,1399,0,0,1,1,0,0,-0.178,-0.1968,1,0.606672,0.559702,symbB1.EST_k37c20_10761 g.24906  ORF symbB1.EST_k37c20_10761 g.24906 symbB1.EST_k37c20_10761 m.24906 type:3prime_partial len:1400 (-) symbB1.EST_k37c20_10761:2-4198(-),
symbB1.EST_k37c20_10763|m.24918,705,1,1,0,0,0,0,-0.09,-0.099,1,0.525686,0.648611,symbB1.EST_k37c20_10763 g.24918  ORF symbB1.EST_k37c20_10763 g.24918 symbB1.EST_k37c20_10763 m.24918 type:5prime_partial len:705 (+) symbB1.EST_k37c20_10763:1-2115(+),
symbB1.EST_k37c20_10809|m.25031,448,0,0,0,0,0,0,-0.131,-0.1558,1,0.576711,0.601501,symbB1.EST_k37c20_10809 g.25031  ORF symbB1.EST_k37c20_10809 g.25031 symbB1.EST_k37c20_10809 m.25031 type:complete len:448 (-) symbB1.EST_k37c20_10809:140-1483(-),
symbB1.EST_k37c20_10931|m.25343,629,0,0,0,0,0,0,-0.1,-0.1155,1,0.541686,0.636153,symbB1.EST_k37c20_10931 g.25343  ORF symbB1.EST_k37c20_10931 g.25343 symbB1.EST_k37c20_10931 m.25343 type:complete len:629 (-) symbB1.EST_k37c20_10931:77-1963(-),
symbB1.EST_k37c20_10940|m.25370,258,0,0,0,0,0,0,-0.157,-0.1873,1,0.600218,0.569991,symbB1.EST_k37c20_10940 g.25370  ORF symbB1.EST_k37c20_10940 g.25370 symbB1.EST_k37c20_10940 m.25370 type:complete len:258 (-) symbB1.EST_k37c20_10940:77-850(-),
symbB1.EST_k37c20_10952|m.25393,404,3,4,1,4,5,2,0.283,0.6008,0.037764,0.001494,0.732332,symbB1.EST_k37c20_10952 g.25393  ORF symbB1.EST_k37c20_10952 g.25393 symbB1.EST_k37c20_10952 m.25393 type:complete len:404 (+) symbB1.EST_k37c20_10952:76-1287(+),
symbB1.EST_k37c20_11005|m.25482,479,6,0,0,4,1,2,-0.17,-0.3327,1,0.671742,0.376569,symbB1.EST_k37c20_11005 g.25482  ORF symbB1.EST_k37c20_11005 g.25482 symbB1.EST_k37c20_11005 m.25482 type:5prime_partial len:479 (-) symbB1.EST_k37c20_11005:53-1489(-),
symbB1.EST_k37c20_11023|m.25500,171,0,16,0,27,21,22,1.295,4.8624,0,0,0.592201,symbB1.EST_k37c20_11023 g.25500  ORF symbB1.EST_k37c20_11023 g.25500 symbB1.EST_k37c20_11023 m.25500 type:internal len:172 (+) symbB1.EST_k37c20_11023:3-515(+),
symbB1.EST_k37c20_11024|m.25501,785,5,0,12,29,32,27,1.521,5.6449,0,0,0.58977,symbB1.EST_k37c20_11024 g.25501  ORF symbB1.EST_k37c20_11024 g.25501 symbB1.EST_k37c20_11024 m.25501 type:internal len:786 (+) symbB1.EST_k37c20_11024:2-2356(+),
symbB1.EST_k37c20_1104|m.2497,440,1,1,0,0,0,0,-0.092,-0.1055,1,0.532105,0.643819,symbB1.EST_k37c20_1104 g.2497  ORF symbB1.EST_k37c20_1104 g.2497 symbB1.EST_k37c20_1104 m.2497 type:complete len:440 (+) symbB1.EST_k37c20_1104:55-1374(+),
symbB1.EST_k37c20_11120|m.25660,115,0,0,3,0,0,0,-0.636,-0.8052,0.075382,0.680901,0.005211,symbB1.EST_k37c20_11120 g.25660  ORF symbB1.EST_k37c20_11120 g.25660 symbB1.EST_k37c20_11120 m.25660 type:5prime_partial len:115 (+) symbB1.EST_k37c20_11120:2-346(+),
symbB1.EST_k37c20_11157|m.25744,424,0,2,2,3,3,3,0.539,0.954,0.000069,0.000002,0.697855,symbB1.EST_k37c20_11157 g.25744  ORF symbB1.EST_k37c20_11157 g.25744 symbB1.EST_k37c20_11157 m.25744 type:5prime_partial len:424 (-) symbB1.EST_k37c20_11157:53-1324(-),
symbB1.EST_k37c20_1119|m.2550,691,0,1,1,3,3,3,1.014,1.5993,0,0,0.650142,symbB1.EST_k37c20_1119 g.2550  ORF symbB1.EST_k37c20_1119 g.2550 symbB1.EST_k37c20_1119 m.2550 type:5prime_partial len:691 (-) symbB1.EST_k37c20_1119:456-2528(-),
symbB1.EST_k37c20_11197|m.25835,1985,0,0,1,0,0,0,-0.201,-0.2286,1,0.626266,0.522615,symbB1.EST_k37c20_11197 g.25835  ORF symbB1.EST_k37c20_11197 g.25835 symbB1.EST_k37c20_11197 m.25835 type:5prime_partial len:1985 (-) symbB1.EST_k37c20_11197:201-6155(-),
symbB1.EST_k37c20_11223|m.25887,300,13,7,0,25,20,25,1.147,4.188,0,0,0.595012,symbB1.EST_k37c20_11223 g.25887  ORF symbB1.EST_k37c20_11223 g.25887 symbB1.EST_k37c20_11223 m.25887 type:complete len:300 (+) symbB1.EST_k37c20_11223:209-1108(+),
symbB1.EST_k37c20_11225|m.25889,304,7,0,13,0,0,0,-2.133,-3.4206,0,0.597329,0,symbB1.EST_k37c20_11225 g.25889  ORF symbB1.EST_k37c20_11225 g.25889 symbB1.EST_k37c20_11225 m.25889 type:complete len:304 (+) symbB1.EST_k37c20_11225:209-1120(+),
symbB1.EST_k37c20_11294|m.26043,197,2,0,0,1,0,0,-0.392,-0.4781,0.848101,0.698876,0.16702,symbB1.EST_k37c20_11294 g.26043  ORF symbB1.EST_k37c20_11294 g.26043 symbB1.EST_k37c20_11294 m.26043 type:5prime_partial len:197 (-) symbB1.EST_k37c20_11294:71-661(-),
symbB1.EST_k37c20_11310|m.26082,319,0,0,0,0,0,0,-0.058,-0.0689,1,0.49401,0.668936,symbB1.EST_k37c20_11310 g.26082  ORF symbB1.EST_k37c20_11310 g.26082 symbB1.EST_k37c20_11310 m.26082 type:complete len:319 (-) symbB1.EST_k37c20_11310:95-1051(-),
symbB1.EST_k37c20_1157|m.2631,992,0,0,0,0,0,0,-0.071,-0.083,1,0.509245,0.659788,symbB1.EST_k37c20_1157 g.2631  ORF symbB1.EST_k37c20_1157 g.2631 symbB1.EST_k37c20_1157 m.2631 type:5prime_partial len:992 (+) symbB1.EST_k37c20_1157:1-2976(+),
symbB1.EST_k37c20_11584|m.26712,1063,3,0,3,1,0,0,-1.053,-1.4886,0,0.634521,0,symbB1.EST_k37c20_11584 g.26712  ORF symbB1.EST_k37c20_11584 g.26712 symbB1.EST_k37c20_11584 m.26712 type:5prime_partial len:1063 (+) symbB1.EST_k37c20_11584:1-3189(+),
symbB1.EST_k37c20_1169|m.2671,307,10,11,20,16,12,13,-0.06,-0.2697,1,0.647354,0.468913,symbB1.EST_k37c20_1169 g.2671  ORF symbB1.EST_k37c20_1169 g.2671 symbB1.EST_k37c20_1169 m.2671 type:5prime_partial len:307 (+) symbB1.EST_k37c20_1169:2-922(+),
symbB1.EST_k37c20_11748|m.27081,218,1,1,0,4,3,5,1.415,2.0289,0,0,0.632643,symbB1.EST_k37c20_11748 g.27081  ORF symbB1.EST_k37c20_11748 g.27081 symbB1.EST_k37c20_11748 m.27081 type:complete len:218 (+) symbB1.EST_k37c20_11748:82-735(+),
symbB1.EST_k37c20_12007|m.27647,1483,3,0,0,1,0,0,-0.702,-0.8937,0.023877,0.672389,0.001417,symbB1.EST_k37c20_12007 g.27647  ORF symbB1.EST_k37c20_12007 g.27647 symbB1.EST_k37c20_12007 m.27647 type:5prime_partial len:1483 (-) symbB1.EST_k37c20_12007:73-4521(-),
symbB1.EST_k37c20_12068|m.27795,2128,0,0,5,0,0,0,-1.073,-1.4448,0,0.63643,0,symbB1.EST_k37c20_12068 g.27795  ORF symbB1.EST_k37c20_12068 g.27795 symbB1.EST_k37c20_12068 m.27795 type:complete len:2128 (+) symbB1.EST_k37c20_12068:78-6461(+),
symbB1.EST_k37c20_1208|m.2742,628,0,0,1,0,0,0,-0.1,-0.1099,1,0.536365,0.64049,symbB1.EST_k37c20_1208 g.2742  ORF symbB1.EST_k37c20_1208 g.2742 symbB1.EST_k37c20_1208 m.2742 type:internal len:629 (-) symbB1.EST_k37c20_1208:2-1885(-),
symbB1.EST_k37c20_12103|m.27861,695,0,0,0,0,0,0,-0.032,-0.0393,1,0.459834,0.686136,symbB1.EST_k37c20_12103 g.27861  ORF symbB1.EST_k37c20_12103 g.27861 symbB1.EST_k37c20_12103 m.27861 type:complete len:695 (+) symbB1.EST_k37c20_12103:96-2180(+),
symbB1.EST_k37c20_12129|m.27938,1965,0,0,0,0,1,2,0.256,0.3071,0.680177,0.059143,0.75771,symbB1.EST_k37c20_12129 g.27938  ORF symbB1.EST_k37c20_12129 g.27938 symbB1.EST_k37c20_12129 m.27938 type:complete len:1965 (+) symbB1.EST_k37c20_12129:36-5930(+),
symbB1.EST_k37c20_1214|m.2760,628,19,4,15,19,15,16,0.207,0.9803,0.000039,0.000001,0.695606,symbB1.EST_k37c20_1214 g.2760  ORF symbB1.EST_k37c20_1214 g.2760 symbB1.EST_k37c20_1214 m.2760 type:internal len:629 (-) symbB1.EST_k37c20_1214:2-1885(-),
symbB1.EST_k37c20_12472|m.28674,778,0,0,3,0,0,0,-0.813,-1.0744,0.001341,0.657644,0.000062,symbB1.EST_k37c20_12472 g.28674  ORF symbB1.EST_k37c20_12472 g.28674 symbB1.EST_k37c20_12472 m.28674 type:5prime_partial len:778 (+) symbB1.EST_k37c20_12472:2-2335(+),
symbB1.EST_k37c20_12510|m.28784,721,6,0,6,4,1,2,-0.738,-1.4914,0,0.634403,0,symbB1.EST_k37c20_12510 g.28784  ORF symbB1.EST_k37c20_12510 g.28784 symbB1.EST_k37c20_12510 m.28784 type:complete len:721 (+) symbB1.EST_k37c20_12510:133-2295(+),
symbB1.EST_k37c20_12680|m.29198,525,0,1,0,0,0,0,-0.047,-0.0558,1,0.479243,0.676872,symbB1.EST_k37c20_12680 g.29198  ORF symbB1.EST_k37c20_12680 g.29198 symbB1.EST_k37c20_12680 m.29198 type:5prime_partial len:525 (+) symbB1.EST_k37c20_12680:1-1575(+),
symbB1.EST_k37c20_12682|m.29203,328,0,0,0,0,0,0,-0.016,-0.0187,1,0.434416,0.696623,symbB1.EST_k37c20_12682 g.29203  ORF symbB1.EST_k37c20_12682 g.29203 symbB1.EST_k37c20_12682 m.29203 type:internal len:329 (-) symbB1.EST_k37c20_12682:3-986(-),
